,material,compatibility,chemical
0,,,Lubricants
1,ABS plastic,N/A,Lubricants
2,Acetal (Delrin®),A - Excellent,Lubricants
3,Aluminum,A2 - Excellent,Lubricants
4,Brass,N/A,Lubricants
5,Bronze,A2 - Excellent,Lubricants
6,Buna N (Nitrile),A - Excellent,Lubricants
7,Carbon graphite,A - Excellent,Lubricants
8,Carbon Steel,A - Excellent,Lubricants
9,Carpenter 20,A - Excellent,Lubricants
10,Cast iron,A - Excellent,Lubricants
11,Ceramic Al203,N/A,Lubricants
12,Ceramic magnet,N/A,Lubricants
13,ChemRaz (FFKM),A - Excellent,Lubricants
14,Copper,A - Excellent,Lubricants
15,CPVC,N/A,Lubricants
16,EPDM,D - Poor,Lubricants
17,Epoxy,A - Excellent,Lubricants
18,Fluorocarbon (FKM),A - Excellent,Lubricants
19,Hastelloy-C®,A - Excellent,Lubricants
20,Hypalon®,A - Excellent,Lubricants
21,Hytrel®,A - Excellent,Lubricants
22,Kalrez,A - Excellent,Lubricants
23,Kel-F®,N/A,Lubricants
24,LDPE,D - Poor,Lubricants
25,Natural rubber,D - Poor,Lubricants
26,Neoprene,D - Poor,Lubricants
27,NORYL®,C1 - Fair,Lubricants
28,Nylon,A1 - Excellent,Lubricants
29,Polycarbonate,A1 - Excellent,Lubricants
30,Polyetherether Ketone (PEEK),A - Excellent,Lubricants
31,Polypropylene,A1 - Excellent,Lubricants
32,Polyurethane,B - Good,Lubricants
33,PPS (Ryton®),A - Excellent,Lubricants
34,PTFE,A - Excellent,Lubricants
35,PVC,B2 - Good,Lubricants
36,PVDF (Kynar®),A - Excellent,Lubricants
37,Silicone,D - Poor,Lubricants
38,stainless steel - 304,A2 - Excellent,Lubricants
39,stainless steel - 316,A2 - Excellent,Lubricants
40,Titanium,A - Excellent,Lubricants
41,Tygon®,B - Good,Lubricants
42,Viton®,A - Excellent,Lubricants
