,material,compatibility,chemical
0,,,Lye: Ca(OH)2 Calcium Hydroxide
1,ABS plastic,N/A,Lye: Ca(OH)2 Calcium Hydroxide
2,Acetal (Delrin®),D - Poor,Lye: Ca(OH)2 Calcium Hydroxide
3,Aluminum,C1 - Fair,Lye: Ca(OH)2 Calcium Hydroxide
4,Brass,N/A,Lye: Ca(OH)2 Calcium Hydroxide
5,Bronze,D - Poor,Lye: Ca(OH)2 Calcium Hydroxide
6,Buna N (Nitrile),A - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
7,Carbon graphite,A - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
8,Carbon Steel,D - Poor,Lye: Ca(OH)2 Calcium Hydroxide
9,Carpenter 20,B - Good,Lye: Ca(OH)2 Calcium Hydroxide
10,Cast iron,A - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
11,Ceramic Al203,A - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
12,Ceramic magnet,A - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
13,ChemRaz (FFKM),B - Good,Lye: Ca(OH)2 Calcium Hydroxide
14,Copper,N/A,Lye: Ca(OH)2 Calcium Hydroxide
15,CPVC,A2 - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
16,EPDM,A - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
17,Epoxy,A1 - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
18,Fluorocarbon (FKM),A - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
19,Hastelloy-C®,A1 - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
20,Hypalon®,A - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
21,Hytrel®,B1 - Good,Lye: Ca(OH)2 Calcium Hydroxide
22,Kalrez,A - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
23,Kel-F®,A2 - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
24,LDPE,A2 - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
25,Natural rubber,B2 - Good,Lye: Ca(OH)2 Calcium Hydroxide
26,Neoprene,A - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
27,NORYL®,A2 - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
28,Nylon,A2 - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
29,Polycarbonate,D - Poor,Lye: Ca(OH)2 Calcium Hydroxide
30,Polyetherether Ketone (PEEK),B - Good,Lye: Ca(OH)2 Calcium Hydroxide
31,Polypropylene,A2 - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
32,Polyurethane,D - Poor,Lye: Ca(OH)2 Calcium Hydroxide
33,PPS (Ryton®),A - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
34,PTFE,A - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
35,PVC,B2 - Good,Lye: Ca(OH)2 Calcium Hydroxide
36,PVDF (Kynar®),A2 - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
37,Silicone,A - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
38,stainless steel - 304,B1 - Good,Lye: Ca(OH)2 Calcium Hydroxide
39,stainless steel - 316,B - Good,Lye: Ca(OH)2 Calcium Hydroxide
40,Titanium,A - Excellent,Lye: Ca(OH)2 Calcium Hydroxide
41,Tygon®,B2 - Good,Lye: Ca(OH)2 Calcium Hydroxide
42,Viton®,B1 - Good,Lye: Ca(OH)2 Calcium Hydroxide
