,material,compatibility,chemical
0,,,Lye: KOH Potassium Hydroxide
1,ABS plastic,A - Excellent,Lye: KOH Potassium Hydroxide
2,Acetal (Delrin®),A - Excellent,Lye: KOH Potassium Hydroxide
3,Aluminum,D - Poor,Lye: KOH Potassium Hydroxide
4,Brass,D - Poor,Lye: KOH Potassium Hydroxide
5,Bronze,D - Poor,Lye: KOH Potassium Hydroxide
6,Buna N (Nitrile),B1 - Good,Lye: KOH Potassium Hydroxide
7,Carbon graphite,C - Fair,Lye: KOH Potassium Hydroxide
8,Carbon Steel,D - Poor,Lye: KOH Potassium Hydroxide
9,Carpenter 20,B - Good,Lye: KOH Potassium Hydroxide
10,Cast iron,B2 - Good,Lye: KOH Potassium Hydroxide
11,Ceramic Al203,D - Poor,Lye: KOH Potassium Hydroxide
12,Ceramic magnet,A - Excellent,Lye: KOH Potassium Hydroxide
13,ChemRaz (FFKM),C - Fair,Lye: KOH Potassium Hydroxide
14,Copper,B - Good,Lye: KOH Potassium Hydroxide
15,CPVC,A - Excellent,Lye: KOH Potassium Hydroxide
16,EPDM,A2 - Excellent,Lye: KOH Potassium Hydroxide
17,Epoxy,A - Excellent,Lye: KOH Potassium Hydroxide
18,Fluorocarbon (FKM),B - Good,Lye: KOH Potassium Hydroxide
19,Hastelloy-C®,B1 - Good,Lye: KOH Potassium Hydroxide
20,Hypalon®,A - Excellent,Lye: KOH Potassium Hydroxide
21,Hytrel®,D - Poor,Lye: KOH Potassium Hydroxide
22,Kalrez,A - Excellent,Lye: KOH Potassium Hydroxide
23,Kel-F®,B - Good,Lye: KOH Potassium Hydroxide
24,LDPE,A - Excellent,Lye: KOH Potassium Hydroxide
25,Natural rubber,B - Good,Lye: KOH Potassium Hydroxide
26,Neoprene,B - Good,Lye: KOH Potassium Hydroxide
27,NORYL®,A1 - Excellent,Lye: KOH Potassium Hydroxide
28,Nylon,C - Fair,Lye: KOH Potassium Hydroxide
29,Polycarbonate,D - Poor,Lye: KOH Potassium Hydroxide
30,Polyetherether Ketone (PEEK),B - Good,Lye: KOH Potassium Hydroxide
31,Polypropylene,A - Excellent,Lye: KOH Potassium Hydroxide
32,Polyurethane,D - Poor,Lye: KOH Potassium Hydroxide
33,PPS (Ryton®),A - Excellent,Lye: KOH Potassium Hydroxide
34,PTFE,A - Excellent,Lye: KOH Potassium Hydroxide
35,PVC,B - Good,Lye: KOH Potassium Hydroxide
36,PVDF (Kynar®),A - Excellent,Lye: KOH Potassium Hydroxide
37,Silicone,C - Fair,Lye: KOH Potassium Hydroxide
38,stainless steel - 304,B - Good,Lye: KOH Potassium Hydroxide
39,stainless steel - 316,A1 - Excellent,Lye: KOH Potassium Hydroxide
40,Titanium,D - Poor,Lye: KOH Potassium Hydroxide
41,Tygon®,B - Good,Lye: KOH Potassium Hydroxide
42,Viton®,B - Good,Lye: KOH Potassium Hydroxide
