,material,compatibility,chemical
0,,,Magnesium Bisulfate
1,ABS plastic,N/A,Magnesium Bisulfate
2,Acetal (Delrin®),N/A,Magnesium Bisulfate
3,Aluminum,D - Poor,Magnesium Bisulfate
4,Brass,N/A,Magnesium Bisulfate
5,Bronze,A1 - Excellent,Magnesium Bisulfate
6,Buna N (Nitrile),B - Good,Magnesium Bisulfate
7,Carbon graphite,A1 - Excellent,Magnesium Bisulfate
8,Carbon Steel,N/A,Magnesium Bisulfate
9,Carpenter 20,N/A,Magnesium Bisulfate
10,Cast iron,N/A,Magnesium Bisulfate
11,Ceramic Al203,N/A,Magnesium Bisulfate
12,Ceramic magnet,N/A,Magnesium Bisulfate
13,ChemRaz (FFKM),N/A,Magnesium Bisulfate
14,Copper,N/A,Magnesium Bisulfate
15,CPVC,N/A,Magnesium Bisulfate
16,EPDM,N/A,Magnesium Bisulfate
17,Epoxy,N/A,Magnesium Bisulfate
18,Fluorocarbon (FKM),N/A,Magnesium Bisulfate
19,Hastelloy-C®,N/A,Magnesium Bisulfate
20,Hypalon®,N/A,Magnesium Bisulfate
21,Hytrel®,N/A,Magnesium Bisulfate
22,Kalrez,N/A,Magnesium Bisulfate
23,Kel-F®,N/A,Magnesium Bisulfate
24,LDPE,N/A,Magnesium Bisulfate
25,Natural rubber,B2 - Good,Magnesium Bisulfate
26,Neoprene,B - Good,Magnesium Bisulfate
27,NORYL®,N/A,Magnesium Bisulfate
28,Nylon,A1 - Excellent,Magnesium Bisulfate
29,Polycarbonate,A1 - Excellent,Magnesium Bisulfate
30,Polyetherether Ketone (PEEK),N/A,Magnesium Bisulfate
31,Polypropylene,A2 - Excellent,Magnesium Bisulfate
32,Polyurethane,N/A,Magnesium Bisulfate
33,PPS (Ryton®),N/A,Magnesium Bisulfate
34,PTFE,A - Excellent,Magnesium Bisulfate
35,PVC,A2 - Excellent,Magnesium Bisulfate
36,PVDF (Kynar®),N/A,Magnesium Bisulfate
37,Silicone,N/A,Magnesium Bisulfate
38,stainless steel - 304,A1 - Excellent,Magnesium Bisulfate
39,stainless steel - 316,A1 - Excellent,Magnesium Bisulfate
40,Titanium,N/A,Magnesium Bisulfate
41,Tygon®,A2 - Excellent,Magnesium Bisulfate
42,Viton®,N/A,Magnesium Bisulfate
