,material,compatibility,chemical
0,,,Magnesium Carbonate
1,ABS plastic,B - Good,Magnesium Carbonate
2,Acetal (Delrin®),A - Excellent,Magnesium Carbonate
3,Aluminum,A - Excellent,Magnesium Carbonate
4,Brass,N/A,Magnesium Carbonate
5,Bronze,A - Excellent,Magnesium Carbonate
6,Buna N (Nitrile),A2 - Excellent,Magnesium Carbonate
7,Carbon graphite,N/A,Magnesium Carbonate
8,Carbon Steel,N/A,Magnesium Carbonate
9,Carpenter 20,A - Excellent,Magnesium Carbonate
10,Cast iron,N/A,Magnesium Carbonate
11,Ceramic Al203,A - Excellent,Magnesium Carbonate
12,Ceramic magnet,A - Excellent,Magnesium Carbonate
13,ChemRaz (FFKM),N/A,Magnesium Carbonate
14,Copper,A - Excellent,Magnesium Carbonate
15,CPVC,A2 - Excellent,Magnesium Carbonate
16,EPDM,A - Excellent,Magnesium Carbonate
17,Epoxy,A - Excellent,Magnesium Carbonate
18,Fluorocarbon (FKM),A - Excellent,Magnesium Carbonate
19,Hastelloy-C®,B - Good,Magnesium Carbonate
20,Hypalon®,A - Excellent,Magnesium Carbonate
21,Hytrel®,N/A,Magnesium Carbonate
22,Kalrez,N/A,Magnesium Carbonate
23,Kel-F®,N/A,Magnesium Carbonate
24,LDPE,B - Good,Magnesium Carbonate
25,Natural rubber,N/A,Magnesium Carbonate
26,Neoprene,A - Excellent,Magnesium Carbonate
27,NORYL®,A2 - Excellent,Magnesium Carbonate
28,Nylon,N/A,Magnesium Carbonate
29,Polycarbonate,A1 - Excellent,Magnesium Carbonate
30,Polyetherether Ketone (PEEK),N/A,Magnesium Carbonate
31,Polypropylene,A - Excellent,Magnesium Carbonate
32,Polyurethane,B - Good,Magnesium Carbonate
33,PPS (Ryton®),N/A,Magnesium Carbonate
34,PTFE,A1 - Excellent,Magnesium Carbonate
35,PVC,B - Good,Magnesium Carbonate
36,PVDF (Kynar®),A - Excellent,Magnesium Carbonate
37,Silicone,N/A,Magnesium Carbonate
38,stainless steel - 304,B - Good,Magnesium Carbonate
39,stainless steel - 316,B - Good,Magnesium Carbonate
40,Titanium,A - Excellent,Magnesium Carbonate
41,Tygon®,N/A,Magnesium Carbonate
42,Viton®,A - Excellent,Magnesium Carbonate
