,material,compatibility,chemical
0,,,Magnesium Chloride
1,ABS plastic,B - Good,Magnesium Chloride
2,Acetal (Delrin®),B1 - Good,Magnesium Chloride
3,Aluminum,D - Poor,Magnesium Chloride
4,Brass,D - Poor,Magnesium Chloride
5,Bronze,B - Good,Magnesium Chloride
6,Buna N (Nitrile),A2 - Excellent,Magnesium Chloride
7,Carbon graphite,A2 - Excellent,Magnesium Chloride
8,Carbon Steel,C - Fair,Magnesium Chloride
9,Carpenter 20,C - Fair,Magnesium Chloride
10,Cast iron,D - Poor,Magnesium Chloride
11,Ceramic Al203,A2 - Excellent,Magnesium Chloride
12,Ceramic magnet,A - Excellent,Magnesium Chloride
13,ChemRaz (FFKM),A - Excellent,Magnesium Chloride
14,Copper,A2 - Excellent,Magnesium Chloride
15,CPVC,A - Excellent,Magnesium Chloride
16,EPDM,A - Excellent,Magnesium Chloride
17,Epoxy,A - Excellent,Magnesium Chloride
18,Fluorocarbon (FKM),A - Excellent,Magnesium Chloride
19,Hastelloy-C®,A2 - Excellent,Magnesium Chloride
20,Hypalon®,A2 - Excellent,Magnesium Chloride
21,Hytrel®,C - Fair,Magnesium Chloride
22,Kalrez,A - Excellent,Magnesium Chloride
23,Kel-F®,A - Excellent,Magnesium Chloride
24,LDPE,A1 - Excellent,Magnesium Chloride
25,Natural rubber,A - Excellent,Magnesium Chloride
26,Neoprene,A - Excellent,Magnesium Chloride
27,NORYL®,A1 - Excellent,Magnesium Chloride
28,Nylon,A1 - Excellent,Magnesium Chloride
29,Polycarbonate,A2 - Excellent,Magnesium Chloride
30,Polyetherether Ketone (PEEK),B - Good,Magnesium Chloride
31,Polypropylene,A2 - Excellent,Magnesium Chloride
32,Polyurethane,A - Excellent,Magnesium Chloride
33,PPS (Ryton®),A1 - Excellent,Magnesium Chloride
34,PTFE,A - Excellent,Magnesium Chloride
35,PVC,B - Good,Magnesium Chloride
36,PVDF (Kynar®),A - Excellent,Magnesium Chloride
37,Silicone,A - Excellent,Magnesium Chloride
38,stainless steel - 304,D - Poor,Magnesium Chloride
39,stainless steel - 316,D - Poor,Magnesium Chloride
40,Titanium,A2 - Excellent,Magnesium Chloride
41,Tygon®,A - Excellent,Magnesium Chloride
42,Viton®,A2 - Excellent,Magnesium Chloride
