,material,compatibility,chemical
0,,,Magnesium Hydroxide
1,ABS plastic,B - Good,Magnesium Hydroxide
2,Acetal (Delrin®),A - Excellent,Magnesium Hydroxide
3,Aluminum,C1 - Fair,Magnesium Hydroxide
4,Brass,D - Poor,Magnesium Hydroxide
5,Bronze,B - Good,Magnesium Hydroxide
6,Buna N (Nitrile),A - Excellent,Magnesium Hydroxide
7,Carbon graphite,A - Excellent,Magnesium Hydroxide
8,Carbon Steel,A - Excellent,Magnesium Hydroxide
9,Carpenter 20,A - Excellent,Magnesium Hydroxide
10,Cast iron,A - Excellent,Magnesium Hydroxide
11,Ceramic Al203,A - Excellent,Magnesium Hydroxide
12,Ceramic magnet,N/A,Magnesium Hydroxide
13,ChemRaz (FFKM),C - Fair,Magnesium Hydroxide
14,Copper,B - Good,Magnesium Hydroxide
15,CPVC,A - Excellent,Magnesium Hydroxide
16,EPDM,A - Excellent,Magnesium Hydroxide
17,Epoxy,A - Excellent,Magnesium Hydroxide
18,Fluorocarbon (FKM),A - Excellent,Magnesium Hydroxide
19,Hastelloy-C®,A - Excellent,Magnesium Hydroxide
20,Hypalon®,A - Excellent,Magnesium Hydroxide
21,Hytrel®,C - Fair,Magnesium Hydroxide
22,Kalrez,A - Excellent,Magnesium Hydroxide
23,Kel-F®,A - Excellent,Magnesium Hydroxide
24,LDPE,A2 - Excellent,Magnesium Hydroxide
25,Natural rubber,A - Excellent,Magnesium Hydroxide
26,Neoprene,A - Excellent,Magnesium Hydroxide
27,NORYL®,A2 - Excellent,Magnesium Hydroxide
28,Nylon,B1 - Good,Magnesium Hydroxide
29,Polycarbonate,A1 - Excellent,Magnesium Hydroxide
30,Polyetherether Ketone (PEEK),A - Excellent,Magnesium Hydroxide
31,Polypropylene,A - Excellent,Magnesium Hydroxide
32,Polyurethane,D - Poor,Magnesium Hydroxide
33,PPS (Ryton®),A - Excellent,Magnesium Hydroxide
34,PTFE,A - Excellent,Magnesium Hydroxide
35,PVC,A2 - Excellent,Magnesium Hydroxide
36,PVDF (Kynar®),A - Excellent,Magnesium Hydroxide
37,Silicone,A - Excellent,Magnesium Hydroxide
38,stainless steel - 304,B - Good,Magnesium Hydroxide
39,stainless steel - 316,A1 - Excellent,Magnesium Hydroxide
40,Titanium,A - Excellent,Magnesium Hydroxide
41,Tygon®,C - Fair,Magnesium Hydroxide
42,Viton®,A - Excellent,Magnesium Hydroxide
