,material,compatibility,chemical
0,,,Magnesium Nitrate
1,ABS plastic,B - Good,Magnesium Nitrate
2,Acetal (Delrin®),A - Excellent,Magnesium Nitrate
3,Aluminum,B - Good,Magnesium Nitrate
4,Brass,N/A,Magnesium Nitrate
5,Bronze,A - Excellent,Magnesium Nitrate
6,Buna N (Nitrile),A - Excellent,Magnesium Nitrate
7,Carbon graphite,N/A,Magnesium Nitrate
8,Carbon Steel,C - Fair,Magnesium Nitrate
9,Carpenter 20,D - Poor,Magnesium Nitrate
10,Cast iron,D - Poor,Magnesium Nitrate
11,Ceramic Al203,A - Excellent,Magnesium Nitrate
12,Ceramic magnet,A - Excellent,Magnesium Nitrate
13,ChemRaz (FFKM),N/A,Magnesium Nitrate
14,Copper,B - Good,Magnesium Nitrate
15,CPVC,A - Excellent,Magnesium Nitrate
16,EPDM,A - Excellent,Magnesium Nitrate
17,Epoxy,A - Excellent,Magnesium Nitrate
18,Fluorocarbon (FKM),A - Excellent,Magnesium Nitrate
19,Hastelloy-C®,A - Excellent,Magnesium Nitrate
20,Hypalon®,A - Excellent,Magnesium Nitrate
21,Hytrel®,N/A,Magnesium Nitrate
22,Kalrez,N/A,Magnesium Nitrate
23,Kel-F®,N/A,Magnesium Nitrate
24,LDPE,A2 - Excellent,Magnesium Nitrate
25,Natural rubber,A - Excellent,Magnesium Nitrate
26,Neoprene,A - Excellent,Magnesium Nitrate
27,NORYL®,A1 - Excellent,Magnesium Nitrate
28,Nylon,A1 - Excellent,Magnesium Nitrate
29,Polycarbonate,A1 - Excellent,Magnesium Nitrate
30,Polyetherether Ketone (PEEK),N/A,Magnesium Nitrate
31,Polypropylene,A - Excellent,Magnesium Nitrate
32,Polyurethane,B - Good,Magnesium Nitrate
33,PPS (Ryton®),A - Excellent,Magnesium Nitrate
34,PTFE,A - Excellent,Magnesium Nitrate
35,PVC,A2 - Excellent,Magnesium Nitrate
36,PVDF (Kynar®),A - Excellent,Magnesium Nitrate
37,Silicone,N/A,Magnesium Nitrate
38,stainless steel - 304,B - Good,Magnesium Nitrate
39,stainless steel - 316,B - Good,Magnesium Nitrate
40,Titanium,A - Excellent,Magnesium Nitrate
41,Tygon®,N/A,Magnesium Nitrate
42,Viton®,A - Excellent,Magnesium Nitrate
