,material,compatibility,chemical
0,,,Magnesium Oxide
1,ABS plastic,N/A,Magnesium Oxide
2,Acetal (Delrin®),A - Excellent,Magnesium Oxide
3,Aluminum,B - Good,Magnesium Oxide
4,Brass,N/A,Magnesium Oxide
5,Bronze,N/A,Magnesium Oxide
6,Buna N (Nitrile),A - Excellent,Magnesium Oxide
7,Carbon graphite,N/A,Magnesium Oxide
8,Carbon Steel,N/A,Magnesium Oxide
9,Carpenter 20,A - Excellent,Magnesium Oxide
10,Cast iron,A - Excellent,Magnesium Oxide
11,Ceramic Al203,N/A,Magnesium Oxide
12,Ceramic magnet,N/A,Magnesium Oxide
13,ChemRaz (FFKM),N/A,Magnesium Oxide
14,Copper,N/A,Magnesium Oxide
15,CPVC,N/A,Magnesium Oxide
16,EPDM,N/A,Magnesium Oxide
17,Epoxy,A - Excellent,Magnesium Oxide
18,Fluorocarbon (FKM),A - Excellent,Magnesium Oxide
19,Hastelloy-C®,N/A,Magnesium Oxide
20,Hypalon®,N/A,Magnesium Oxide
21,Hytrel®,N/A,Magnesium Oxide
22,Kalrez,N/A,Magnesium Oxide
23,Kel-F®,N/A,Magnesium Oxide
24,LDPE,N/A,Magnesium Oxide
25,Natural rubber,N/A,Magnesium Oxide
26,Neoprene,A - Excellent,Magnesium Oxide
27,NORYL®,N/A,Magnesium Oxide
28,Nylon,N/A,Magnesium Oxide
29,Polycarbonate,N/A,Magnesium Oxide
30,Polyetherether Ketone (PEEK),N/A,Magnesium Oxide
31,Polypropylene,N/A,Magnesium Oxide
32,Polyurethane,N/A,Magnesium Oxide
33,PPS (Ryton®),N/A,Magnesium Oxide
34,PTFE,A - Excellent,Magnesium Oxide
35,PVC,N/A,Magnesium Oxide
36,PVDF (Kynar®),N/A,Magnesium Oxide
37,Silicone,N/A,Magnesium Oxide
38,stainless steel - 304,A - Excellent,Magnesium Oxide
39,stainless steel - 316,A - Excellent,Magnesium Oxide
40,Titanium,N/A,Magnesium Oxide
41,Tygon®,N/A,Magnesium Oxide
42,Viton®,C - Fair,Magnesium Oxide
