,material,compatibility,chemical
0,,,Magnesium Sulfate (Epsom Salts)
1,ABS plastic,B2 - Good,Magnesium Sulfate (Epsom Salts)
2,Acetal (Delrin®),B - Good,Magnesium Sulfate (Epsom Salts)
3,Aluminum,B1 - Good,Magnesium Sulfate (Epsom Salts)
4,Brass,A - Excellent,Magnesium Sulfate (Epsom Salts)
5,Bronze,A - Excellent,Magnesium Sulfate (Epsom Salts)
6,Buna N (Nitrile),A - Excellent,Magnesium Sulfate (Epsom Salts)
7,Carbon graphite,A - Excellent,Magnesium Sulfate (Epsom Salts)
8,Carbon Steel,B - Good,Magnesium Sulfate (Epsom Salts)
9,Carpenter 20,C - Fair,Magnesium Sulfate (Epsom Salts)
10,Cast iron,A - Excellent,Magnesium Sulfate (Epsom Salts)
11,Ceramic Al203,N/A,Magnesium Sulfate (Epsom Salts)
12,Ceramic magnet,N/A,Magnesium Sulfate (Epsom Salts)
13,ChemRaz (FFKM),N/A,Magnesium Sulfate (Epsom Salts)
14,Copper,A - Excellent,Magnesium Sulfate (Epsom Salts)
15,CPVC,A1 - Excellent,Magnesium Sulfate (Epsom Salts)
16,EPDM,A - Excellent,Magnesium Sulfate (Epsom Salts)
17,Epoxy,A - Excellent,Magnesium Sulfate (Epsom Salts)
18,Fluorocarbon (FKM),A - Excellent,Magnesium Sulfate (Epsom Salts)
19,Hastelloy-C®,B - Good,Magnesium Sulfate (Epsom Salts)
20,Hypalon®,A - Excellent,Magnesium Sulfate (Epsom Salts)
21,Hytrel®,N/A,Magnesium Sulfate (Epsom Salts)
22,Kalrez,A - Excellent,Magnesium Sulfate (Epsom Salts)
23,Kel-F®,A - Excellent,Magnesium Sulfate (Epsom Salts)
24,LDPE,A2 - Excellent,Magnesium Sulfate (Epsom Salts)
25,Natural rubber,B - Good,Magnesium Sulfate (Epsom Salts)
26,Neoprene,A - Excellent,Magnesium Sulfate (Epsom Salts)
27,NORYL®,A1 - Excellent,Magnesium Sulfate (Epsom Salts)
28,Nylon,A1 - Excellent,Magnesium Sulfate (Epsom Salts)
29,Polycarbonate,A1 - Excellent,Magnesium Sulfate (Epsom Salts)
30,Polyetherether Ketone (PEEK),A - Excellent,Magnesium Sulfate (Epsom Salts)
31,Polypropylene,A - Excellent,Magnesium Sulfate (Epsom Salts)
32,Polyurethane,D - Poor,Magnesium Sulfate (Epsom Salts)
33,PPS (Ryton®),A - Excellent,Magnesium Sulfate (Epsom Salts)
34,PTFE,A - Excellent,Magnesium Sulfate (Epsom Salts)
35,PVC,A1 - Excellent,Magnesium Sulfate (Epsom Salts)
36,PVDF (Kynar®),A - Excellent,Magnesium Sulfate (Epsom Salts)
37,Silicone,A - Excellent,Magnesium Sulfate (Epsom Salts)
38,stainless steel - 304,A - Excellent,Magnesium Sulfate (Epsom Salts)
39,stainless steel - 316,B - Good,Magnesium Sulfate (Epsom Salts)
40,Titanium,A1 - Excellent,Magnesium Sulfate (Epsom Salts)
41,Tygon®,B - Good,Magnesium Sulfate (Epsom Salts)
42,Viton®,A - Excellent,Magnesium Sulfate (Epsom Salts)
