,material,compatibility,chemical
0,,,Maleic Acid
1,ABS plastic,N/A,Maleic Acid
2,Acetal (Delrin®),A - Excellent,Maleic Acid
3,Aluminum,B1 - Good,Maleic Acid
4,Brass,N/A,Maleic Acid
5,Bronze,B - Good,Maleic Acid
6,Buna N (Nitrile),D - Poor,Maleic Acid
7,Carbon graphite,A - Excellent,Maleic Acid
8,Carbon Steel,D - Poor,Maleic Acid
9,Carpenter 20,A - Excellent,Maleic Acid
10,Cast iron,A - Excellent,Maleic Acid
11,Ceramic Al203,N/A,Maleic Acid
12,Ceramic magnet,N/A,Maleic Acid
13,ChemRaz (FFKM),A - Excellent,Maleic Acid
14,Copper,N/A,Maleic Acid
15,CPVC,A - Excellent,Maleic Acid
16,EPDM,D - Poor,Maleic Acid
17,Epoxy,A - Excellent,Maleic Acid
18,Fluorocarbon (FKM),A - Excellent,Maleic Acid
19,Hastelloy-C®,B - Good,Maleic Acid
20,Hypalon®,D - Poor,Maleic Acid
21,Hytrel®,N/A,Maleic Acid
22,Kalrez,A - Excellent,Maleic Acid
23,Kel-F®,N/A,Maleic Acid
24,LDPE,B2 - Good,Maleic Acid
25,Natural rubber,B - Good,Maleic Acid
26,Neoprene,D - Poor,Maleic Acid
27,NORYL®,A1 - Excellent,Maleic Acid
28,Nylon,A - Excellent,Maleic Acid
29,Polycarbonate,N/A,Maleic Acid
30,Polyetherether Ketone (PEEK),A - Excellent,Maleic Acid
31,Polypropylene,A - Excellent,Maleic Acid
32,Polyurethane,D - Poor,Maleic Acid
33,PPS (Ryton®),B - Good,Maleic Acid
34,PTFE,A - Excellent,Maleic Acid
35,PVC,A2 - Excellent,Maleic Acid
36,PVDF (Kynar®),A - Excellent,Maleic Acid
37,Silicone,N/A,Maleic Acid
38,stainless steel - 304,A - Excellent,Maleic Acid
39,stainless steel - 316,B - Good,Maleic Acid
40,Titanium,A - Excellent,Maleic Acid
41,Tygon®,C - Fair,Maleic Acid
42,Viton®,A - Excellent,Maleic Acid
