,material,compatibility,chemical
0,,,Maleic Anhydride
1,ABS plastic,N/A,Maleic Anhydride
2,Acetal (Delrin®),D - Poor,Maleic Anhydride
3,Aluminum,A - Excellent,Maleic Anhydride
4,Brass,N/A,Maleic Anhydride
5,Bronze,N/A,Maleic Anhydride
6,Buna N (Nitrile),D - Poor,Maleic Anhydride
7,Carbon graphite,N/A,Maleic Anhydride
8,Carbon Steel,N/A,Maleic Anhydride
9,Carpenter 20,N/A,Maleic Anhydride
10,Cast iron,N/A,Maleic Anhydride
11,Ceramic Al203,N/A,Maleic Anhydride
12,Ceramic magnet,N/A,Maleic Anhydride
13,ChemRaz (FFKM),A - Excellent,Maleic Anhydride
14,Copper,N/A,Maleic Anhydride
15,CPVC,N/A,Maleic Anhydride
16,EPDM,D - Poor,Maleic Anhydride
17,Epoxy,A - Excellent,Maleic Anhydride
18,Fluorocarbon (FKM),A - Excellent,Maleic Anhydride
19,Hastelloy-C®,N/A,Maleic Anhydride
20,Hypalon®,D - Poor,Maleic Anhydride
21,Hytrel®,N/A,Maleic Anhydride
22,Kalrez,A - Excellent,Maleic Anhydride
23,Kel-F®,N/A,Maleic Anhydride
24,LDPE,D - Poor,Maleic Anhydride
25,Natural rubber,D - Poor,Maleic Anhydride
26,Neoprene,D - Poor,Maleic Anhydride
27,NORYL®,N/A,Maleic Anhydride
28,Nylon,N/A,Maleic Anhydride
29,Polycarbonate,N/A,Maleic Anhydride
30,Polyetherether Ketone (PEEK),N/A,Maleic Anhydride
31,Polypropylene,D - Poor,Maleic Anhydride
32,Polyurethane,N/A,Maleic Anhydride
33,PPS (Ryton®),N/A,Maleic Anhydride
34,PTFE,A - Excellent,Maleic Anhydride
35,PVC,N/A,Maleic Anhydride
36,PVDF (Kynar®),A - Excellent,Maleic Anhydride
37,Silicone,N/A,Maleic Anhydride
38,stainless steel - 304,A - Excellent,Maleic Anhydride
39,stainless steel - 316,A - Excellent,Maleic Anhydride
40,Titanium,N/A,Maleic Anhydride
41,Tygon®,N/A,Maleic Anhydride
42,Viton®,A - Excellent,Maleic Anhydride
