,material,compatibility,chemical
0,,,Mash
1,ABS plastic,N/A,Mash
2,Acetal (Delrin®),A - Excellent,Mash
3,Aluminum,A - Excellent,Mash
4,Brass,N/A,Mash
5,Bronze,N/A,Mash
6,Buna N (Nitrile),A - Excellent,Mash
7,Carbon graphite,N/A,Mash
8,Carbon Steel,N/A,Mash
9,Carpenter 20,A - Excellent,Mash
10,Cast iron,N/A,Mash
11,Ceramic Al203,N/A,Mash
12,Ceramic magnet,N/A,Mash
13,ChemRaz (FFKM),N/A,Mash
14,Copper,N/A,Mash
15,CPVC,N/A,Mash
16,EPDM,A - Excellent,Mash
17,Epoxy,A - Excellent,Mash
18,Fluorocarbon (FKM),N/A,Mash
19,Hastelloy-C®,N/A,Mash
20,Hypalon®,N/A,Mash
21,Hytrel®,N/A,Mash
22,Kalrez,N/A,Mash
23,Kel-F®,N/A,Mash
24,LDPE,A - Excellent,Mash
25,Natural rubber,N/A,Mash
26,Neoprene,A - Excellent,Mash
27,NORYL®,N/A,Mash
28,Nylon,A - Excellent,Mash
29,Polycarbonate,N/A,Mash
30,Polyetherether Ketone (PEEK),N/A,Mash
31,Polypropylene,N/A,Mash
32,Polyurethane,A - Excellent,Mash
33,PPS (Ryton®),N/A,Mash
34,PTFE,N/A,Mash
35,PVC,N/A,Mash
36,PVDF (Kynar®),N/A,Mash
37,Silicone,N/A,Mash
38,stainless steel - 304,A - Excellent,Mash
39,stainless steel - 316,A - Excellent,Mash
40,Titanium,N/A,Mash
41,Tygon®,A - Excellent,Mash
42,Viton®,A - Excellent,Mash
