,material,compatibility,chemical
0,,,Mayonnaise
1,ABS plastic,N/A,Mayonnaise
2,Acetal (Delrin®),A - Excellent,Mayonnaise
3,Aluminum,A - Excellent,Mayonnaise
4,Brass,N/A,Mayonnaise
5,Bronze,N/A,Mayonnaise
6,Buna N (Nitrile),C - Fair,Mayonnaise
7,Carbon graphite,N/A,Mayonnaise
8,Carbon Steel,N/A,Mayonnaise
9,Carpenter 20,D - Poor,Mayonnaise
10,Cast iron,D - Poor,Mayonnaise
11,Ceramic Al203,N/A,Mayonnaise
12,Ceramic magnet,N/A,Mayonnaise
13,ChemRaz (FFKM),N/A,Mayonnaise
14,Copper,B - Good,Mayonnaise
15,CPVC,N/A,Mayonnaise
16,EPDM,N/A,Mayonnaise
17,Epoxy,A - Excellent,Mayonnaise
18,Fluorocarbon (FKM),A - Excellent,Mayonnaise
19,Hastelloy-C®,A - Excellent,Mayonnaise
20,Hypalon®,N/A,Mayonnaise
21,Hytrel®,N/A,Mayonnaise
22,Kalrez,N/A,Mayonnaise
23,Kel-F®,N/A,Mayonnaise
24,LDPE,D - Poor,Mayonnaise
25,Natural rubber,D - Poor,Mayonnaise
26,Neoprene,A - Excellent,Mayonnaise
27,NORYL®,N/A,Mayonnaise
28,Nylon,A - Excellent,Mayonnaise
29,Polycarbonate,N/A,Mayonnaise
30,Polyetherether Ketone (PEEK),N/A,Mayonnaise
31,Polypropylene,N/A,Mayonnaise
32,Polyurethane,D - Poor,Mayonnaise
33,PPS (Ryton®),N/A,Mayonnaise
34,PTFE,A - Excellent,Mayonnaise
35,PVC,D - Poor,Mayonnaise
36,PVDF (Kynar®),A - Excellent,Mayonnaise
37,Silicone,N/A,Mayonnaise
38,stainless steel - 304,C - Fair,Mayonnaise
39,stainless steel - 316,A - Excellent,Mayonnaise
40,Titanium,N/A,Mayonnaise
41,Tygon®,D - Poor,Mayonnaise
42,Viton®,A - Excellent,Mayonnaise
