,material,compatibility,chemical
0,,,Melamine
1,ABS plastic,N/A,Melamine
2,Acetal (Delrin®),A - Excellent,Melamine
3,Aluminum,N/A,Melamine
4,Brass,N/A,Melamine
5,Bronze,N/A,Melamine
6,Buna N (Nitrile),C - Fair,Melamine
7,Carbon graphite,D - Poor,Melamine
8,Carbon Steel,N/A,Melamine
9,Carpenter 20,D - Poor,Melamine
10,Cast iron,D - Poor,Melamine
11,Ceramic Al203,N/A,Melamine
12,Ceramic magnet,N/A,Melamine
13,ChemRaz (FFKM),A - Excellent,Melamine
14,Copper,N/A,Melamine
15,CPVC,A2 - Excellent,Melamine
16,EPDM,A - Excellent,Melamine
17,Epoxy,A - Excellent,Melamine
18,Fluorocarbon (FKM),A - Excellent,Melamine
19,Hastelloy-C®,N/A,Melamine
20,Hypalon®,N/A,Melamine
21,Hytrel®,N/A,Melamine
22,Kalrez,N/A,Melamine
23,Kel-F®,N/A,Melamine
24,LDPE,N/A,Melamine
25,Natural rubber,N/A,Melamine
26,Neoprene,D - Poor,Melamine
27,NORYL®,N/A,Melamine
28,Nylon,A - Excellent,Melamine
29,Polycarbonate,N/A,Melamine
30,Polyetherether Ketone (PEEK),N/A,Melamine
31,Polypropylene,A - Excellent,Melamine
32,Polyurethane,D - Poor,Melamine
33,PPS (Ryton®),N/A,Melamine
34,PTFE,A - Excellent,Melamine
35,PVC,D - Poor,Melamine
36,PVDF (Kynar®),N/A,Melamine
37,Silicone,C - Fair,Melamine
38,stainless steel - 304,N/A,Melamine
39,stainless steel - 316,D - Poor,Melamine
40,Titanium,N/A,Melamine
41,Tygon®,D - Poor,Melamine
42,Viton®,A - Excellent,Melamine
