,material,compatibility,chemical
0,,,Mercuric Cyanide
1,ABS plastic,B - Good,Mercuric Cyanide
2,Acetal (Delrin®),N/A,Mercuric Cyanide
3,Aluminum,D - Poor,Mercuric Cyanide
4,Brass,N/A,Mercuric Cyanide
5,Bronze,D - Poor,Mercuric Cyanide
6,Buna N (Nitrile),A - Excellent,Mercuric Cyanide
7,Carbon graphite,N/A,Mercuric Cyanide
8,Carbon Steel,D - Poor,Mercuric Cyanide
9,Carpenter 20,N/A,Mercuric Cyanide
10,Cast iron,C - Fair,Mercuric Cyanide
11,Ceramic Al203,A - Excellent,Mercuric Cyanide
12,Ceramic magnet,N/A,Mercuric Cyanide
13,ChemRaz (FFKM),A - Excellent,Mercuric Cyanide
14,Copper,D - Poor,Mercuric Cyanide
15,CPVC,A - Excellent,Mercuric Cyanide
16,EPDM,A1 - Excellent,Mercuric Cyanide
17,Epoxy,A - Excellent,Mercuric Cyanide
18,Fluorocarbon (FKM),A - Excellent,Mercuric Cyanide
19,Hastelloy-C®,A - Excellent,Mercuric Cyanide
20,Hypalon®,N/A,Mercuric Cyanide
21,Hytrel®,N/A,Mercuric Cyanide
22,Kalrez,A - Excellent,Mercuric Cyanide
23,Kel-F®,D - Poor,Mercuric Cyanide
24,LDPE,A - Excellent,Mercuric Cyanide
25,Natural rubber,N/A,Mercuric Cyanide
26,Neoprene,A - Excellent,Mercuric Cyanide
27,NORYL®,N/A,Mercuric Cyanide
28,Nylon,A2 - Excellent,Mercuric Cyanide
29,Polycarbonate,N/A,Mercuric Cyanide
30,Polyetherether Ketone (PEEK),N/A,Mercuric Cyanide
31,Polypropylene,B - Good,Mercuric Cyanide
32,Polyurethane,N/A,Mercuric Cyanide
33,PPS (Ryton®),A - Excellent,Mercuric Cyanide
34,PTFE,B - Good,Mercuric Cyanide
35,PVC,A - Excellent,Mercuric Cyanide
36,PVDF (Kynar®),A - Excellent,Mercuric Cyanide
37,Silicone,A - Excellent,Mercuric Cyanide
38,stainless steel - 304,C - Fair,Mercuric Cyanide
39,stainless steel - 316,C - Fair,Mercuric Cyanide
40,Titanium,A - Excellent,Mercuric Cyanide
41,Tygon®,N/A,Mercuric Cyanide
42,Viton®,A1 - Excellent,Mercuric Cyanide
