,material,compatibility,chemical
0,,,Mercurous Nitrate
1,ABS plastic,C2 - Fair,Mercurous Nitrate
2,Acetal (Delrin®),N/A,Mercurous Nitrate
3,Aluminum,D - Poor,Mercurous Nitrate
4,Brass,N/A,Mercurous Nitrate
5,Bronze,N/A,Mercurous Nitrate
6,Buna N (Nitrile),B1 - Good,Mercurous Nitrate
7,Carbon graphite,C - Fair,Mercurous Nitrate
8,Carbon Steel,B - Good,Mercurous Nitrate
9,Carpenter 20,N/A,Mercurous Nitrate
10,Cast iron,N/A,Mercurous Nitrate
11,Ceramic Al203,A - Excellent,Mercurous Nitrate
12,Ceramic magnet,A - Excellent,Mercurous Nitrate
13,ChemRaz (FFKM),A - Excellent,Mercurous Nitrate
14,Copper,N/A,Mercurous Nitrate
15,CPVC,A2 - Excellent,Mercurous Nitrate
16,EPDM,A1 - Excellent,Mercurous Nitrate
17,Epoxy,N/A,Mercurous Nitrate
18,Fluorocarbon (FKM),A - Excellent,Mercurous Nitrate
19,Hastelloy-C®,A1 - Excellent,Mercurous Nitrate
20,Hypalon®,N/A,Mercurous Nitrate
21,Hytrel®,N/A,Mercurous Nitrate
22,Kalrez,A - Excellent,Mercurous Nitrate
23,Kel-F®,N/A,Mercurous Nitrate
24,LDPE,A - Excellent,Mercurous Nitrate
25,Natural rubber,B1 - Good,Mercurous Nitrate
26,Neoprene,B1 - Good,Mercurous Nitrate
27,NORYL®,A2 - Excellent,Mercurous Nitrate
28,Nylon,N/A,Mercurous Nitrate
29,Polycarbonate,A2 - Excellent,Mercurous Nitrate
30,Polyetherether Ketone (PEEK),N/A,Mercurous Nitrate
31,Polypropylene,A - Excellent,Mercurous Nitrate
32,Polyurethane,N/A,Mercurous Nitrate
33,PPS (Ryton®),N/A,Mercurous Nitrate
34,PTFE,A - Excellent,Mercurous Nitrate
35,PVC,A - Excellent,Mercurous Nitrate
36,PVDF (Kynar®),A - Excellent,Mercurous Nitrate
37,Silicone,N/A,Mercurous Nitrate
38,stainless steel - 304,A1 - Excellent,Mercurous Nitrate
39,stainless steel - 316,A1 - Excellent,Mercurous Nitrate
40,Titanium,A1 - Excellent,Mercurous Nitrate
41,Tygon®,A2 - Excellent,Mercurous Nitrate
42,Viton®,A1 - Excellent,Mercurous Nitrate
