,material,compatibility,chemical
0,,,Mercury
1,ABS plastic,B - Good,Mercury
2,Acetal (Delrin®),A - Excellent,Mercury
3,Aluminum,D - Poor,Mercury
4,Brass,D - Poor,Mercury
5,Bronze,A - Excellent,Mercury
6,Buna N (Nitrile),A - Excellent,Mercury
7,Carbon graphite,C - Fair,Mercury
8,Carbon Steel,C - Fair,Mercury
9,Carpenter 20,D - Poor,Mercury
10,Cast iron,A - Excellent,Mercury
11,Ceramic Al203,A - Excellent,Mercury
12,Ceramic magnet,A - Excellent,Mercury
13,ChemRaz (FFKM),A - Excellent,Mercury
14,Copper,D - Poor,Mercury
15,CPVC,A - Excellent,Mercury
16,EPDM,A - Excellent,Mercury
17,Epoxy,A - Excellent,Mercury
18,Fluorocarbon (FKM),A - Excellent,Mercury
19,Hastelloy-C®,A2 - Excellent,Mercury
20,Hypalon®,A - Excellent,Mercury
21,Hytrel®,B - Good,Mercury
22,Kalrez,A - Excellent,Mercury
23,Kel-F®,A - Excellent,Mercury
24,LDPE,A - Excellent,Mercury
25,Natural rubber,A - Excellent,Mercury
26,Neoprene,A - Excellent,Mercury
27,NORYL®,A1 - Excellent,Mercury
28,Nylon,A - Excellent,Mercury
29,Polycarbonate,D - Poor,Mercury
30,Polyetherether Ketone (PEEK),A - Excellent,Mercury
31,Polypropylene,B - Good,Mercury
32,Polyurethane,A - Excellent,Mercury
33,PPS (Ryton®),N/A,Mercury
34,PTFE,A - Excellent,Mercury
35,PVC,A - Excellent,Mercury
36,PVDF (Kynar®),A - Excellent,Mercury
37,Silicone,N/A,Mercury
38,stainless steel - 304,A - Excellent,Mercury
39,stainless steel - 316,A - Excellent,Mercury
40,Titanium,A - Excellent,Mercury
41,Tygon®,D - Poor,Mercury
42,Viton®,A - Excellent,Mercury
