,material,compatibility,chemical
0,,,Methane
1,ABS plastic,N/A,Methane
2,Acetal (Delrin®),A - Excellent,Methane
3,Aluminum,A - Excellent,Methane
4,Brass,N/A,Methane
5,Bronze,A - Excellent,Methane
6,Buna N (Nitrile),A - Excellent,Methane
7,Carbon graphite,B - Good,Methane
8,Carbon Steel,D - Poor,Methane
9,Carpenter 20,A - Excellent,Methane
10,Cast iron,N/A,Methane
11,Ceramic Al203,N/A,Methane
12,Ceramic magnet,N/A,Methane
13,ChemRaz (FFKM),A - Excellent,Methane
14,Copper,N/A,Methane
15,CPVC,N/A,Methane
16,EPDM,D - Poor,Methane
17,Epoxy,N/A,Methane
18,Fluorocarbon (FKM),A - Excellent,Methane
19,Hastelloy-C®,A - Excellent,Methane
20,Hypalon®,B - Good,Methane
21,Hytrel®,N/A,Methane
22,Kalrez,A - Excellent,Methane
23,Kel-F®,N/A,Methane
24,LDPE,N/A,Methane
25,Natural rubber,D - Poor,Methane
26,Neoprene,B - Good,Methane
27,NORYL®,N/A,Methane
28,Nylon,A - Excellent,Methane
29,Polycarbonate,N/A,Methane
30,Polyetherether Ketone (PEEK),A - Excellent,Methane
31,Polypropylene,A - Excellent,Methane
32,Polyurethane,C - Fair,Methane
33,PPS (Ryton®),N/A,Methane
34,PTFE,A - Excellent,Methane
35,PVC,B - Good,Methane
36,PVDF (Kynar®),A - Excellent,Methane
37,Silicone,D - Poor,Methane
38,stainless steel - 304,A - Excellent,Methane
39,stainless steel - 316,A - Excellent,Methane
40,Titanium,N/A,Methane
41,Tygon®,N/A,Methane
42,Viton®,A - Excellent,Methane
