,material,compatibility,chemical
0,,,Methanol (Methyl Alcohol)
1,ABS plastic,N/A,Methanol (Methyl Alcohol)
2,Acetal (Delrin®),A - Excellent,Methanol (Methyl Alcohol)
3,Aluminum,A - Excellent,Methanol (Methyl Alcohol)
4,Brass,N/A,Methanol (Methyl Alcohol)
5,Bronze,A - Excellent,Methanol (Methyl Alcohol)
6,Buna N (Nitrile),A - Excellent,Methanol (Methyl Alcohol)
7,Carbon graphite,B - Good,Methanol (Methyl Alcohol)
8,Carbon Steel,D - Poor,Methanol (Methyl Alcohol)
9,Carpenter 20,A - Excellent,Methanol (Methyl Alcohol)
10,Cast iron,N/A,Methanol (Methyl Alcohol)
11,Ceramic Al203,N/A,Methanol (Methyl Alcohol)
12,Ceramic magnet,N/A,Methanol (Methyl Alcohol)
13,ChemRaz (FFKM),A - Excellent,Methanol (Methyl Alcohol)
14,Copper,N/A,Methanol (Methyl Alcohol)
15,CPVC,N/A,Methanol (Methyl Alcohol)
16,EPDM,D - Poor,Methanol (Methyl Alcohol)
17,Epoxy,N/A,Methanol (Methyl Alcohol)
18,Fluorocarbon (FKM),A - Excellent,Methanol (Methyl Alcohol)
19,Hastelloy-C®,A - Excellent,Methanol (Methyl Alcohol)
20,Hypalon®,B - Good,Methanol (Methyl Alcohol)
21,Hytrel®,N/A,Methanol (Methyl Alcohol)
22,Kalrez,A - Excellent,Methanol (Methyl Alcohol)
23,Kel-F®,N/A,Methanol (Methyl Alcohol)
24,LDPE,N/A,Methanol (Methyl Alcohol)
25,Natural rubber,D - Poor,Methanol (Methyl Alcohol)
26,Neoprene,B - Good,Methanol (Methyl Alcohol)
27,NORYL®,N/A,Methanol (Methyl Alcohol)
28,Nylon,A - Excellent,Methanol (Methyl Alcohol)
29,Polycarbonate,N/A,Methanol (Methyl Alcohol)
30,Polyetherether Ketone (PEEK),A - Excellent,Methanol (Methyl Alcohol)
31,Polypropylene,A - Excellent,Methanol (Methyl Alcohol)
32,Polyurethane,C - Fair,Methanol (Methyl Alcohol)
33,PPS (Ryton®),N/A,Methanol (Methyl Alcohol)
34,PTFE,A - Excellent,Methanol (Methyl Alcohol)
35,PVC,B - Good,Methanol (Methyl Alcohol)
36,PVDF (Kynar®),A - Excellent,Methanol (Methyl Alcohol)
37,Silicone,D - Poor,Methanol (Methyl Alcohol)
38,stainless steel - 304,A - Excellent,Methanol (Methyl Alcohol)
39,stainless steel - 316,A - Excellent,Methanol (Methyl Alcohol)
40,Titanium,N/A,Methanol (Methyl Alcohol)
41,Tygon®,N/A,Methanol (Methyl Alcohol)
42,Viton®,A - Excellent,Methanol (Methyl Alcohol)
