,material,compatibility,chemical
0,,,Methyl Acetate
1,ABS plastic,D - Poor,Methyl Acetate
2,Acetal (Delrin®),B - Good,Methyl Acetate
3,Aluminum,A - Excellent,Methyl Acetate
4,Brass,N/A,Methyl Acetate
5,Bronze,A - Excellent,Methyl Acetate
6,Buna N (Nitrile),D - Poor,Methyl Acetate
7,Carbon graphite,A - Excellent,Methyl Acetate
8,Carbon Steel,B - Good,Methyl Acetate
9,Carpenter 20,A - Excellent,Methyl Acetate
10,Cast iron,A - Excellent,Methyl Acetate
11,Ceramic Al203,N/A,Methyl Acetate
12,Ceramic magnet,N/A,Methyl Acetate
13,ChemRaz (FFKM),A - Excellent,Methyl Acetate
14,Copper,B - Good,Methyl Acetate
15,CPVC,N/A,Methyl Acetate
16,EPDM,B - Good,Methyl Acetate
17,Epoxy,D - Poor,Methyl Acetate
18,Fluorocarbon (FKM),D - Poor,Methyl Acetate
19,Hastelloy-C®,A - Excellent,Methyl Acetate
20,Hypalon®,D - Poor,Methyl Acetate
21,Hytrel®,N/A,Methyl Acetate
22,Kalrez,A - Excellent,Methyl Acetate
23,Kel-F®,A - Excellent,Methyl Acetate
24,LDPE,B1 - Good,Methyl Acetate
25,Natural rubber,D - Poor,Methyl Acetate
26,Neoprene,B - Good,Methyl Acetate
27,NORYL®,N/A,Methyl Acetate
28,Nylon,A2 - Excellent,Methyl Acetate
29,Polycarbonate,D - Poor,Methyl Acetate
30,Polyetherether Ketone (PEEK),A - Excellent,Methyl Acetate
31,Polypropylene,D - Poor,Methyl Acetate
32,Polyurethane,D - Poor,Methyl Acetate
33,PPS (Ryton®),N/A,Methyl Acetate
34,PTFE,A - Excellent,Methyl Acetate
35,PVC,D - Poor,Methyl Acetate
36,PVDF (Kynar®),B1 - Good,Methyl Acetate
37,Silicone,D - Poor,Methyl Acetate
38,stainless steel - 304,A - Excellent,Methyl Acetate
39,stainless steel - 316,B - Good,Methyl Acetate
40,Titanium,N/A,Methyl Acetate
41,Tygon®,A - Excellent,Methyl Acetate
42,Viton®,D - Poor,Methyl Acetate
