,material,compatibility,chemical
0,,,Methyl Acetone
1,ABS plastic,N/A,Methyl Acetone
2,Acetal (Delrin®),D - Poor,Methyl Acetone
3,Aluminum,A - Excellent,Methyl Acetone
4,Brass,A - Excellent,Methyl Acetone
5,Bronze,A - Excellent,Methyl Acetone
6,Buna N (Nitrile),D - Poor,Methyl Acetone
7,Carbon graphite,A - Excellent,Methyl Acetone
8,Carbon Steel,A - Excellent,Methyl Acetone
9,Carpenter 20,B - Good,Methyl Acetone
10,Cast iron,A - Excellent,Methyl Acetone
11,Ceramic Al203,N/A,Methyl Acetone
12,Ceramic magnet,N/A,Methyl Acetone
13,ChemRaz (FFKM),N/A,Methyl Acetone
14,Copper,N/A,Methyl Acetone
15,CPVC,N/A,Methyl Acetone
16,EPDM,A1 - Excellent,Methyl Acetone
17,Epoxy,C - Fair,Methyl Acetone
18,Fluorocarbon (FKM),D - Poor,Methyl Acetone
19,Hastelloy-C®,N/A,Methyl Acetone
20,Hypalon®,N/A,Methyl Acetone
21,Hytrel®,N/A,Methyl Acetone
22,Kalrez,N/A,Methyl Acetone
23,Kel-F®,N/A,Methyl Acetone
24,LDPE,N/A,Methyl Acetone
25,Natural rubber,A - Excellent,Methyl Acetone
26,Neoprene,D - Poor,Methyl Acetone
27,NORYL®,N/A,Methyl Acetone
28,Nylon,A - Excellent,Methyl Acetone
29,Polycarbonate,N/A,Methyl Acetone
30,Polyetherether Ketone (PEEK),N/A,Methyl Acetone
31,Polypropylene,N/A,Methyl Acetone
32,Polyurethane,N/A,Methyl Acetone
33,PPS (Ryton®),N/A,Methyl Acetone
34,PTFE,A - Excellent,Methyl Acetone
35,PVC,D - Poor,Methyl Acetone
36,PVDF (Kynar®),D - Poor,Methyl Acetone
37,Silicone,N/A,Methyl Acetone
38,stainless steel - 304,A - Excellent,Methyl Acetone
39,stainless steel - 316,A - Excellent,Methyl Acetone
40,Titanium,N/A,Methyl Acetone
41,Tygon®,A - Excellent,Methyl Acetone
42,Viton®,D - Poor,Methyl Acetone
