,material,compatibility,chemical
0,,,Methyl Acrylate
1,ABS plastic,N/A,Methyl Acrylate
2,Acetal (Delrin®),B - Good,Methyl Acrylate
3,Aluminum,N/A,Methyl Acrylate
4,Brass,N/A,Methyl Acrylate
5,Bronze,N/A,Methyl Acrylate
6,Buna N (Nitrile),D - Poor,Methyl Acrylate
7,Carbon graphite,N/A,Methyl Acrylate
8,Carbon Steel,N/A,Methyl Acrylate
9,Carpenter 20,N/A,Methyl Acrylate
10,Cast iron,A - Excellent,Methyl Acrylate
11,Ceramic Al203,N/A,Methyl Acrylate
12,Ceramic magnet,N/A,Methyl Acrylate
13,ChemRaz (FFKM),A - Excellent,Methyl Acrylate
14,Copper,N/A,Methyl Acrylate
15,CPVC,N/A,Methyl Acrylate
16,EPDM,B - Good,Methyl Acrylate
17,Epoxy,A - Excellent,Methyl Acrylate
18,Fluorocarbon (FKM),D - Poor,Methyl Acrylate
19,Hastelloy-C®,N/A,Methyl Acrylate
20,Hypalon®,D - Poor,Methyl Acrylate
21,Hytrel®,N/A,Methyl Acrylate
22,Kalrez,A - Excellent,Methyl Acrylate
23,Kel-F®,N/A,Methyl Acrylate
24,LDPE,N/A,Methyl Acrylate
25,Natural rubber,D - Poor,Methyl Acrylate
26,Neoprene,B - Good,Methyl Acrylate
27,NORYL®,N/A,Methyl Acrylate
28,Nylon,N/A,Methyl Acrylate
29,Polycarbonate,N/A,Methyl Acrylate
30,Polyetherether Ketone (PEEK),N/A,Methyl Acrylate
31,Polypropylene,D - Poor,Methyl Acrylate
32,Polyurethane,D - Poor,Methyl Acrylate
33,PPS (Ryton®),N/A,Methyl Acrylate
34,PTFE,N/A,Methyl Acrylate
35,PVC,N/A,Methyl Acrylate
36,PVDF (Kynar®),B1 - Good,Methyl Acrylate
37,Silicone,D - Poor,Methyl Acrylate
38,stainless steel - 304,A - Excellent,Methyl Acrylate
39,stainless steel - 316,N/A,Methyl Acrylate
40,Titanium,N/A,Methyl Acrylate
41,Tygon®,N/A,Methyl Acrylate
42,Viton®,D - Poor,Methyl Acrylate
