,material,compatibility,chemical
0,,,Methyl Alcohol 10%
1,ABS plastic,N/A,Methyl Alcohol 10%
2,Acetal (Delrin®),B - Good,Methyl Alcohol 10%
3,Aluminum,N/A,Methyl Alcohol 10%
4,Brass,N/A,Methyl Alcohol 10%
5,Bronze,N/A,Methyl Alcohol 10%
6,Buna N (Nitrile),D - Poor,Methyl Alcohol 10%
7,Carbon graphite,N/A,Methyl Alcohol 10%
8,Carbon Steel,N/A,Methyl Alcohol 10%
9,Carpenter 20,N/A,Methyl Alcohol 10%
10,Cast iron,A - Excellent,Methyl Alcohol 10%
11,Ceramic Al203,N/A,Methyl Alcohol 10%
12,Ceramic magnet,N/A,Methyl Alcohol 10%
13,ChemRaz (FFKM),A - Excellent,Methyl Alcohol 10%
14,Copper,N/A,Methyl Alcohol 10%
15,CPVC,N/A,Methyl Alcohol 10%
16,EPDM,B - Good,Methyl Alcohol 10%
17,Epoxy,A - Excellent,Methyl Alcohol 10%
18,Fluorocarbon (FKM),D - Poor,Methyl Alcohol 10%
19,Hastelloy-C®,N/A,Methyl Alcohol 10%
20,Hypalon®,D - Poor,Methyl Alcohol 10%
21,Hytrel®,N/A,Methyl Alcohol 10%
22,Kalrez,A - Excellent,Methyl Alcohol 10%
23,Kel-F®,N/A,Methyl Alcohol 10%
24,LDPE,N/A,Methyl Alcohol 10%
25,Natural rubber,D - Poor,Methyl Alcohol 10%
26,Neoprene,B - Good,Methyl Alcohol 10%
27,NORYL®,N/A,Methyl Alcohol 10%
28,Nylon,N/A,Methyl Alcohol 10%
29,Polycarbonate,N/A,Methyl Alcohol 10%
30,Polyetherether Ketone (PEEK),N/A,Methyl Alcohol 10%
31,Polypropylene,D - Poor,Methyl Alcohol 10%
32,Polyurethane,D - Poor,Methyl Alcohol 10%
33,PPS (Ryton®),N/A,Methyl Alcohol 10%
34,PTFE,N/A,Methyl Alcohol 10%
35,PVC,N/A,Methyl Alcohol 10%
36,PVDF (Kynar®),B1 - Good,Methyl Alcohol 10%
37,Silicone,D - Poor,Methyl Alcohol 10%
38,stainless steel - 304,A - Excellent,Methyl Alcohol 10%
39,stainless steel - 316,N/A,Methyl Alcohol 10%
40,Titanium,N/A,Methyl Alcohol 10%
41,Tygon®,N/A,Methyl Alcohol 10%
42,Viton®,D - Poor,Methyl Alcohol 10%
