,material,compatibility,chemical
0,,,Methyl Butyl Ketone
1,ABS plastic,D - Poor,Methyl Butyl Ketone
2,Acetal (Delrin®),D - Poor,Methyl Butyl Ketone
3,Aluminum,D - Poor,Methyl Butyl Ketone
4,Brass,N/A,Methyl Butyl Ketone
5,Bronze,N/A,Methyl Butyl Ketone
6,Buna N (Nitrile),B1 - Good,Methyl Butyl Ketone
7,Carbon graphite,A - Excellent,Methyl Butyl Ketone
8,Carbon Steel,A - Excellent,Methyl Butyl Ketone
9,Carpenter 20,N/A,Methyl Butyl Ketone
10,Cast iron,A - Excellent,Methyl Butyl Ketone
11,Ceramic Al203,N/A,Methyl Butyl Ketone
12,Ceramic magnet,N/A,Methyl Butyl Ketone
13,ChemRaz (FFKM),A - Excellent,Methyl Butyl Ketone
14,Copper,B - Good,Methyl Butyl Ketone
15,CPVC,D - Poor,Methyl Butyl Ketone
16,EPDM,D - Poor,Methyl Butyl Ketone
17,Epoxy,B - Good,Methyl Butyl Ketone
18,Fluorocarbon (FKM),A - Excellent,Methyl Butyl Ketone
19,Hastelloy-C®,N/A,Methyl Butyl Ketone
20,Hypalon®,D - Poor,Methyl Butyl Ketone
21,Hytrel®,N/A,Methyl Butyl Ketone
22,Kalrez,A - Excellent,Methyl Butyl Ketone
23,Kel-F®,N/A,Methyl Butyl Ketone
24,LDPE,C1 - Fair,Methyl Butyl Ketone
25,Natural rubber,D - Poor,Methyl Butyl Ketone
26,Neoprene,D - Poor,Methyl Butyl Ketone
27,NORYL®,N/A,Methyl Butyl Ketone
28,Nylon,B1 - Good,Methyl Butyl Ketone
29,Polycarbonate,N/A,Methyl Butyl Ketone
30,Polyetherether Ketone (PEEK),N/A,Methyl Butyl Ketone
31,Polypropylene,C - Fair,Methyl Butyl Ketone
32,Polyurethane,D - Poor,Methyl Butyl Ketone
33,PPS (Ryton®),N/A,Methyl Butyl Ketone
34,PTFE,A - Excellent,Methyl Butyl Ketone
35,PVC,D - Poor,Methyl Butyl Ketone
36,PVDF (Kynar®),A - Excellent,Methyl Butyl Ketone
37,Silicone,N/A,Methyl Butyl Ketone
38,stainless steel - 304,A - Excellent,Methyl Butyl Ketone
39,stainless steel - 316,A - Excellent,Methyl Butyl Ketone
40,Titanium,N/A,Methyl Butyl Ketone
41,Tygon®,N/A,Methyl Butyl Ketone
42,Viton®,A - Excellent,Methyl Butyl Ketone
