,material,compatibility,chemical
0,,,Methyl Cellosolve
1,ABS plastic,N/A,Methyl Cellosolve
2,Acetal (Delrin®),D - Poor,Methyl Cellosolve
3,Aluminum,N/A,Methyl Cellosolve
4,Brass,N/A,Methyl Cellosolve
5,Bronze,N/A,Methyl Cellosolve
6,Buna N (Nitrile),D - Poor,Methyl Cellosolve
7,Carbon graphite,N/A,Methyl Cellosolve
8,Carbon Steel,N/A,Methyl Cellosolve
9,Carpenter 20,A - Excellent,Methyl Cellosolve
10,Cast iron,N/A,Methyl Cellosolve
11,Ceramic Al203,N/A,Methyl Cellosolve
12,Ceramic magnet,N/A,Methyl Cellosolve
13,ChemRaz (FFKM),A - Excellent,Methyl Cellosolve
14,Copper,N/A,Methyl Cellosolve
15,CPVC,N/A,Methyl Cellosolve
16,EPDM,A1 - Excellent,Methyl Cellosolve
17,Epoxy,C - Fair,Methyl Cellosolve
18,Fluorocarbon (FKM),D - Poor,Methyl Cellosolve
19,Hastelloy-C®,N/A,Methyl Cellosolve
20,Hypalon®,D - Poor,Methyl Cellosolve
21,Hytrel®,N/A,Methyl Cellosolve
22,Kalrez,A - Excellent,Methyl Cellosolve
23,Kel-F®,N/A,Methyl Cellosolve
24,LDPE,N/A,Methyl Cellosolve
25,Natural rubber,D - Poor,Methyl Cellosolve
26,Neoprene,D - Poor,Methyl Cellosolve
27,NORYL®,N/A,Methyl Cellosolve
28,Nylon,D - Poor,Methyl Cellosolve
29,Polycarbonate,D - Poor,Methyl Cellosolve
30,Polyetherether Ketone (PEEK),A - Excellent,Methyl Cellosolve
31,Polypropylene,D - Poor,Methyl Cellosolve
32,Polyurethane,D - Poor,Methyl Cellosolve
33,PPS (Ryton®),N/A,Methyl Cellosolve
34,PTFE,N/A,Methyl Cellosolve
35,PVC,A - Excellent,Methyl Cellosolve
36,PVDF (Kynar®),D - Poor,Methyl Cellosolve
37,Silicone,D - Poor,Methyl Cellosolve
38,stainless steel - 304,A - Excellent,Methyl Cellosolve
39,stainless steel - 316,A - Excellent,Methyl Cellosolve
40,Titanium,N/A,Methyl Cellosolve
41,Tygon®,N/A,Methyl Cellosolve
42,Viton®,D - Poor,Methyl Cellosolve
