,material,compatibility,chemical
0,,,Methyl Dichloride
1,ABS plastic,N/A,Methyl Dichloride
2,Acetal (Delrin®),D - Poor,Methyl Dichloride
3,Aluminum,N/A,Methyl Dichloride
4,Brass,N/A,Methyl Dichloride
5,Bronze,N/A,Methyl Dichloride
6,Buna N (Nitrile),D - Poor,Methyl Dichloride
7,Carbon graphite,N/A,Methyl Dichloride
8,Carbon Steel,N/A,Methyl Dichloride
9,Carpenter 20,N/A,Methyl Dichloride
10,Cast iron,N/A,Methyl Dichloride
11,Ceramic Al203,N/A,Methyl Dichloride
12,Ceramic magnet,N/A,Methyl Dichloride
13,ChemRaz (FFKM),N/A,Methyl Dichloride
14,Copper,N/A,Methyl Dichloride
15,CPVC,N/A,Methyl Dichloride
16,EPDM,D - Poor,Methyl Dichloride
17,Epoxy,A - Excellent,Methyl Dichloride
18,Fluorocarbon (FKM),A - Excellent,Methyl Dichloride
19,Hastelloy-C®,N/A,Methyl Dichloride
20,Hypalon®,N/A,Methyl Dichloride
21,Hytrel®,N/A,Methyl Dichloride
22,Kalrez,A - Excellent,Methyl Dichloride
23,Kel-F®,N/A,Methyl Dichloride
24,LDPE,N/A,Methyl Dichloride
25,Natural rubber,N/A,Methyl Dichloride
26,Neoprene,N/A,Methyl Dichloride
27,NORYL®,N/A,Methyl Dichloride
28,Nylon,C - Fair,Methyl Dichloride
29,Polycarbonate,N/A,Methyl Dichloride
30,Polyetherether Ketone (PEEK),N/A,Methyl Dichloride
31,Polypropylene,D - Poor,Methyl Dichloride
32,Polyurethane,N/A,Methyl Dichloride
33,PPS (Ryton®),N/A,Methyl Dichloride
34,PTFE,N/A,Methyl Dichloride
35,PVC,A - Excellent,Methyl Dichloride
36,PVDF (Kynar®),D - Poor,Methyl Dichloride
37,Silicone,N/A,Methyl Dichloride
38,stainless steel - 304,N/A,Methyl Dichloride
39,stainless steel - 316,N/A,Methyl Dichloride
40,Titanium,N/A,Methyl Dichloride
41,Tygon®,N/A,Methyl Dichloride
42,Viton®,A1 - Excellent,Methyl Dichloride
