,material,compatibility,chemical
0,,,Methyl Ethyl Ketone Peroxide
1,ABS plastic,D - Poor,Methyl Ethyl Ketone Peroxide
2,Acetal (Delrin®),C - Fair,Methyl Ethyl Ketone Peroxide
3,Aluminum,B - Good,Methyl Ethyl Ketone Peroxide
4,Brass,A - Excellent,Methyl Ethyl Ketone Peroxide
5,Bronze,A - Excellent,Methyl Ethyl Ketone Peroxide
6,Buna N (Nitrile),D - Poor,Methyl Ethyl Ketone Peroxide
7,Carbon graphite,A - Excellent,Methyl Ethyl Ketone Peroxide
8,Carbon Steel,A - Excellent,Methyl Ethyl Ketone Peroxide
9,Carpenter 20,A - Excellent,Methyl Ethyl Ketone Peroxide
10,Cast iron,A - Excellent,Methyl Ethyl Ketone Peroxide
11,Ceramic Al203,A - Excellent,Methyl Ethyl Ketone Peroxide
12,Ceramic magnet,A - Excellent,Methyl Ethyl Ketone Peroxide
13,ChemRaz (FFKM),A - Excellent,Methyl Ethyl Ketone Peroxide
14,Copper,A - Excellent,Methyl Ethyl Ketone Peroxide
15,CPVC,D - Poor,Methyl Ethyl Ketone Peroxide
16,EPDM,A2 - Excellent,Methyl Ethyl Ketone Peroxide
17,Epoxy,C1 - Fair,Methyl Ethyl Ketone Peroxide
18,Fluorocarbon (FKM),D - Poor,Methyl Ethyl Ketone Peroxide
19,Hastelloy-C®,A - Excellent,Methyl Ethyl Ketone Peroxide
20,Hypalon®,D - Poor,Methyl Ethyl Ketone Peroxide
21,Hytrel®,B - Good,Methyl Ethyl Ketone Peroxide
22,Kalrez,A - Excellent,Methyl Ethyl Ketone Peroxide
23,Kel-F®,A1 - Excellent,Methyl Ethyl Ketone Peroxide
24,LDPE,D - Poor,Methyl Ethyl Ketone Peroxide
25,Natural rubber,D - Poor,Methyl Ethyl Ketone Peroxide
26,Neoprene,D - Poor,Methyl Ethyl Ketone Peroxide
27,NORYL®,D - Poor,Methyl Ethyl Ketone Peroxide
28,Nylon,A1 - Excellent,Methyl Ethyl Ketone Peroxide
29,Polycarbonate,D - Poor,Methyl Ethyl Ketone Peroxide
30,Polyetherether Ketone (PEEK),A - Excellent,Methyl Ethyl Ketone Peroxide
31,Polypropylene,B - Good,Methyl Ethyl Ketone Peroxide
32,Polyurethane,D - Poor,Methyl Ethyl Ketone Peroxide
33,PPS (Ryton®),A - Excellent,Methyl Ethyl Ketone Peroxide
34,PTFE,A - Excellent,Methyl Ethyl Ketone Peroxide
35,PVC,D - Poor,Methyl Ethyl Ketone Peroxide
36,PVDF (Kynar®),D - Poor,Methyl Ethyl Ketone Peroxide
37,Silicone,D - Poor,Methyl Ethyl Ketone Peroxide
38,stainless steel - 304,A - Excellent,Methyl Ethyl Ketone Peroxide
39,stainless steel - 316,A - Excellent,Methyl Ethyl Ketone Peroxide
40,Titanium,A - Excellent,Methyl Ethyl Ketone Peroxide
41,Tygon®,D - Poor,Methyl Ethyl Ketone Peroxide
42,Viton®,D - Poor,Methyl Ethyl Ketone Peroxide
