,material,compatibility,chemical
0,,,Methyl Ethyl Ketone
1,ABS plastic,D - Poor,Methyl Ethyl Ketone
2,Acetal (Delrin®),C - Fair,Methyl Ethyl Ketone
3,Aluminum,B - Good,Methyl Ethyl Ketone
4,Brass,A - Excellent,Methyl Ethyl Ketone
5,Bronze,A - Excellent,Methyl Ethyl Ketone
6,Buna N (Nitrile),D - Poor,Methyl Ethyl Ketone
7,Carbon graphite,A - Excellent,Methyl Ethyl Ketone
8,Carbon Steel,A - Excellent,Methyl Ethyl Ketone
9,Carpenter 20,A - Excellent,Methyl Ethyl Ketone
10,Cast iron,A - Excellent,Methyl Ethyl Ketone
11,Ceramic Al203,A - Excellent,Methyl Ethyl Ketone
12,Ceramic magnet,A - Excellent,Methyl Ethyl Ketone
13,ChemRaz (FFKM),A - Excellent,Methyl Ethyl Ketone
14,Copper,A - Excellent,Methyl Ethyl Ketone
15,CPVC,D - Poor,Methyl Ethyl Ketone
16,EPDM,A2 - Excellent,Methyl Ethyl Ketone
17,Epoxy,C1 - Fair,Methyl Ethyl Ketone
18,Fluorocarbon (FKM),D - Poor,Methyl Ethyl Ketone
19,Hastelloy-C®,A - Excellent,Methyl Ethyl Ketone
20,Hypalon®,D - Poor,Methyl Ethyl Ketone
21,Hytrel®,B - Good,Methyl Ethyl Ketone
22,Kalrez,A - Excellent,Methyl Ethyl Ketone
23,Kel-F®,A1 - Excellent,Methyl Ethyl Ketone
24,LDPE,D - Poor,Methyl Ethyl Ketone
25,Natural rubber,D - Poor,Methyl Ethyl Ketone
26,Neoprene,D - Poor,Methyl Ethyl Ketone
27,NORYL®,D - Poor,Methyl Ethyl Ketone
28,Nylon,A1 - Excellent,Methyl Ethyl Ketone
29,Polycarbonate,D - Poor,Methyl Ethyl Ketone
30,Polyetherether Ketone (PEEK),A - Excellent,Methyl Ethyl Ketone
31,Polypropylene,B - Good,Methyl Ethyl Ketone
32,Polyurethane,D - Poor,Methyl Ethyl Ketone
33,PPS (Ryton®),A - Excellent,Methyl Ethyl Ketone
34,PTFE,A - Excellent,Methyl Ethyl Ketone
35,PVC,D - Poor,Methyl Ethyl Ketone
36,PVDF (Kynar®),D - Poor,Methyl Ethyl Ketone
37,Silicone,D - Poor,Methyl Ethyl Ketone
38,stainless steel - 304,A - Excellent,Methyl Ethyl Ketone
39,stainless steel - 316,A - Excellent,Methyl Ethyl Ketone
40,Titanium,A - Excellent,Methyl Ethyl Ketone
41,Tygon®,D - Poor,Methyl Ethyl Ketone
42,Viton®,D - Poor,Methyl Ethyl Ketone
