,material,compatibility,chemical
0,,,Methyl Isobutyl Ketone
1,ABS plastic,D - Poor,Methyl Isobutyl Ketone
2,Acetal (Delrin®),N/A,Methyl Isobutyl Ketone
3,Aluminum,B - Good,Methyl Isobutyl Ketone
4,Brass,N/A,Methyl Isobutyl Ketone
5,Bronze,A - Excellent,Methyl Isobutyl Ketone
6,Buna N (Nitrile),D - Poor,Methyl Isobutyl Ketone
7,Carbon graphite,A - Excellent,Methyl Isobutyl Ketone
8,Carbon Steel,A - Excellent,Methyl Isobutyl Ketone
9,Carpenter 20,C - Fair,Methyl Isobutyl Ketone
10,Cast iron,C - Fair,Methyl Isobutyl Ketone
11,Ceramic Al203,N/A,Methyl Isobutyl Ketone
12,Ceramic magnet,N/A,Methyl Isobutyl Ketone
13,ChemRaz (FFKM),A - Excellent,Methyl Isobutyl Ketone
14,Copper,B - Good,Methyl Isobutyl Ketone
15,CPVC,D - Poor,Methyl Isobutyl Ketone
16,EPDM,B1 - Good,Methyl Isobutyl Ketone
17,Epoxy,C - Fair,Methyl Isobutyl Ketone
18,Fluorocarbon (FKM),D - Poor,Methyl Isobutyl Ketone
19,Hastelloy-C®,A - Excellent,Methyl Isobutyl Ketone
20,Hypalon®,D - Poor,Methyl Isobutyl Ketone
21,Hytrel®,B - Good,Methyl Isobutyl Ketone
22,Kalrez,A - Excellent,Methyl Isobutyl Ketone
23,Kel-F®,A - Excellent,Methyl Isobutyl Ketone
24,LDPE,C - Fair,Methyl Isobutyl Ketone
25,Natural rubber,D - Poor,Methyl Isobutyl Ketone
26,Neoprene,D - Poor,Methyl Isobutyl Ketone
27,NORYL®,D - Poor,Methyl Isobutyl Ketone
28,Nylon,B2 - Good,Methyl Isobutyl Ketone
29,Polycarbonate,D - Poor,Methyl Isobutyl Ketone
30,Polyetherether Ketone (PEEK),A - Excellent,Methyl Isobutyl Ketone
31,Polypropylene,A - Excellent,Methyl Isobutyl Ketone
32,Polyurethane,D - Poor,Methyl Isobutyl Ketone
33,PPS (Ryton®),A - Excellent,Methyl Isobutyl Ketone
34,PTFE,A - Excellent,Methyl Isobutyl Ketone
35,PVC,D - Poor,Methyl Isobutyl Ketone
36,PVDF (Kynar®),D - Poor,Methyl Isobutyl Ketone
37,Silicone,D - Poor,Methyl Isobutyl Ketone
38,stainless steel - 304,B - Good,Methyl Isobutyl Ketone
39,stainless steel - 316,B - Good,Methyl Isobutyl Ketone
40,Titanium,A - Excellent,Methyl Isobutyl Ketone
41,Tygon®,N/A,Methyl Isobutyl Ketone
42,Viton®,D - Poor,Methyl Isobutyl Ketone
