,material,compatibility,chemical
0,,,Methyl Isopropyl Ketone
1,ABS plastic,N/A,Methyl Isopropyl Ketone
2,Acetal (Delrin®),N/A,Methyl Isopropyl Ketone
3,Aluminum,A - Excellent,Methyl Isopropyl Ketone
4,Brass,N/A,Methyl Isopropyl Ketone
5,Bronze,A - Excellent,Methyl Isopropyl Ketone
6,Buna N (Nitrile),D - Poor,Methyl Isopropyl Ketone
7,Carbon graphite,A - Excellent,Methyl Isopropyl Ketone
8,Carbon Steel,N/A,Methyl Isopropyl Ketone
9,Carpenter 20,N/A,Methyl Isopropyl Ketone
10,Cast iron,C - Fair,Methyl Isopropyl Ketone
11,Ceramic Al203,N/A,Methyl Isopropyl Ketone
12,Ceramic magnet,N/A,Methyl Isopropyl Ketone
13,ChemRaz (FFKM),N/A,Methyl Isopropyl Ketone
14,Copper,A - Excellent,Methyl Isopropyl Ketone
15,CPVC,N/A,Methyl Isopropyl Ketone
16,EPDM,C1 - Fair,Methyl Isopropyl Ketone
17,Epoxy,A - Excellent,Methyl Isopropyl Ketone
18,Fluorocarbon (FKM),D - Poor,Methyl Isopropyl Ketone
19,Hastelloy-C®,N/A,Methyl Isopropyl Ketone
20,Hypalon®,D - Poor,Methyl Isopropyl Ketone
21,Hytrel®,N/A,Methyl Isopropyl Ketone
22,Kalrez,A - Excellent,Methyl Isopropyl Ketone
23,Kel-F®,N/A,Methyl Isopropyl Ketone
24,LDPE,D - Poor,Methyl Isopropyl Ketone
25,Natural rubber,D - Poor,Methyl Isopropyl Ketone
26,Neoprene,D - Poor,Methyl Isopropyl Ketone
27,NORYL®,D - Poor,Methyl Isopropyl Ketone
28,Nylon,A - Excellent,Methyl Isopropyl Ketone
29,Polycarbonate,D - Poor,Methyl Isopropyl Ketone
30,Polyetherether Ketone (PEEK),A - Excellent,Methyl Isopropyl Ketone
31,Polypropylene,N/A,Methyl Isopropyl Ketone
32,Polyurethane,D - Poor,Methyl Isopropyl Ketone
33,PPS (Ryton®),N/A,Methyl Isopropyl Ketone
34,PTFE,A - Excellent,Methyl Isopropyl Ketone
35,PVC,D - Poor,Methyl Isopropyl Ketone
36,PVDF (Kynar®),N/A,Methyl Isopropyl Ketone
37,Silicone,C - Fair,Methyl Isopropyl Ketone
38,stainless steel - 304,A - Excellent,Methyl Isopropyl Ketone
39,stainless steel - 316,A - Excellent,Methyl Isopropyl Ketone
40,Titanium,N/A,Methyl Isopropyl Ketone
41,Tygon®,N/A,Methyl Isopropyl Ketone
42,Viton®,D - Poor,Methyl Isopropyl Ketone
