,material,compatibility,chemical
0,,,Methyl Methacrylate
1,ABS plastic,N/A,Methyl Methacrylate
2,Acetal (Delrin®),D - Poor,Methyl Methacrylate
3,Aluminum,N/A,Methyl Methacrylate
4,Brass,N/A,Methyl Methacrylate
5,Bronze,N/A,Methyl Methacrylate
6,Buna N (Nitrile),D - Poor,Methyl Methacrylate
7,Carbon graphite,N/A,Methyl Methacrylate
8,Carbon Steel,N/A,Methyl Methacrylate
9,Carpenter 20,N/A,Methyl Methacrylate
10,Cast iron,C - Fair,Methyl Methacrylate
11,Ceramic Al203,N/A,Methyl Methacrylate
12,Ceramic magnet,N/A,Methyl Methacrylate
13,ChemRaz (FFKM),A - Excellent,Methyl Methacrylate
14,Copper,N/A,Methyl Methacrylate
15,CPVC,N/A,Methyl Methacrylate
16,EPDM,D - Poor,Methyl Methacrylate
17,Epoxy,A - Excellent,Methyl Methacrylate
18,Fluorocarbon (FKM),D - Poor,Methyl Methacrylate
19,Hastelloy-C®,N/A,Methyl Methacrylate
20,Hypalon®,D - Poor,Methyl Methacrylate
21,Hytrel®,N/A,Methyl Methacrylate
22,Kalrez,A - Excellent,Methyl Methacrylate
23,Kel-F®,N/A,Methyl Methacrylate
24,LDPE,N/A,Methyl Methacrylate
25,Natural rubber,D - Poor,Methyl Methacrylate
26,Neoprene,D - Poor,Methyl Methacrylate
27,NORYL®,N/A,Methyl Methacrylate
28,Nylon,N/A,Methyl Methacrylate
29,Polycarbonate,N/A,Methyl Methacrylate
30,Polyetherether Ketone (PEEK),N/A,Methyl Methacrylate
31,Polypropylene,D - Poor,Methyl Methacrylate
32,Polyurethane,D - Poor,Methyl Methacrylate
33,PPS (Ryton®),N/A,Methyl Methacrylate
34,PTFE,N/A,Methyl Methacrylate
35,PVC,A - Excellent,Methyl Methacrylate
36,PVDF (Kynar®),B1 - Good,Methyl Methacrylate
37,Silicone,C - Fair,Methyl Methacrylate
38,stainless steel - 304,B - Good,Methyl Methacrylate
39,stainless steel - 316,B - Good,Methyl Methacrylate
40,Titanium,N/A,Methyl Methacrylate
41,Tygon®,N/A,Methyl Methacrylate
42,Viton®,D - Poor,Methyl Methacrylate
