,material,compatibility,chemical
0,,,Methylamine
1,ABS plastic,N/A,Methylamine
2,Acetal (Delrin®),D - Poor,Methylamine
3,Aluminum,N/A,Methylamine
4,Brass,N/A,Methylamine
5,Bronze,N/A,Methylamine
6,Buna N (Nitrile),D - Poor,Methylamine
7,Carbon graphite,N/A,Methylamine
8,Carbon Steel,N/A,Methylamine
9,Carpenter 20,N/A,Methylamine
10,Cast iron,C - Fair,Methylamine
11,Ceramic Al203,N/A,Methylamine
12,Ceramic magnet,N/A,Methylamine
13,ChemRaz (FFKM),A - Excellent,Methylamine
14,Copper,N/A,Methylamine
15,CPVC,N/A,Methylamine
16,EPDM,D - Poor,Methylamine
17,Epoxy,A - Excellent,Methylamine
18,Fluorocarbon (FKM),D - Poor,Methylamine
19,Hastelloy-C®,N/A,Methylamine
20,Hypalon®,D - Poor,Methylamine
21,Hytrel®,N/A,Methylamine
22,Kalrez,A - Excellent,Methylamine
23,Kel-F®,N/A,Methylamine
24,LDPE,N/A,Methylamine
25,Natural rubber,D - Poor,Methylamine
26,Neoprene,D - Poor,Methylamine
27,NORYL®,N/A,Methylamine
28,Nylon,N/A,Methylamine
29,Polycarbonate,N/A,Methylamine
30,Polyetherether Ketone (PEEK),N/A,Methylamine
31,Polypropylene,D - Poor,Methylamine
32,Polyurethane,D - Poor,Methylamine
33,PPS (Ryton®),N/A,Methylamine
34,PTFE,N/A,Methylamine
35,PVC,A - Excellent,Methylamine
36,PVDF (Kynar®),B1 - Good,Methylamine
37,Silicone,C - Fair,Methylamine
38,stainless steel - 304,B - Good,Methylamine
39,stainless steel - 316,B - Good,Methylamine
40,Titanium,N/A,Methylamine
41,Tygon®,N/A,Methylamine
42,Viton®,D - Poor,Methylamine
