,material,compatibility,chemical
0,,,Methylene Chloride
1,ABS plastic,D - Poor,Methylene Chloride
2,Acetal (Delrin®),B - Good,Methylene Chloride
3,Aluminum,C - Fair,Methylene Chloride
4,Brass,A - Excellent,Methylene Chloride
5,Bronze,B - Good,Methylene Chloride
6,Buna N (Nitrile),D - Poor,Methylene Chloride
7,Carbon graphite,A - Excellent,Methylene Chloride
8,Carbon Steel,B - Good,Methylene Chloride
9,Carpenter 20,A - Excellent,Methylene Chloride
10,Cast iron,B - Good,Methylene Chloride
11,Ceramic Al203,N/A,Methylene Chloride
12,Ceramic magnet,N/A,Methylene Chloride
13,ChemRaz (FFKM),A - Excellent,Methylene Chloride
14,Copper,B - Good,Methylene Chloride
15,CPVC,D - Poor,Methylene Chloride
16,EPDM,C1 - Fair,Methylene Chloride
17,Epoxy,A - Excellent,Methylene Chloride
18,Fluorocarbon (FKM),B - Good,Methylene Chloride
19,Hastelloy-C®,B - Good,Methylene Chloride
20,Hypalon®,N/A,Methylene Chloride
21,Hytrel®,D - Poor,Methylene Chloride
22,Kalrez,A - Excellent,Methylene Chloride
23,Kel-F®,A - Excellent,Methylene Chloride
24,LDPE,D - Poor,Methylene Chloride
25,Natural rubber,B - Good,Methylene Chloride
26,Neoprene,N/A,Methylene Chloride
27,NORYL®,D - Poor,Methylene Chloride
28,Nylon,C1 - Fair,Methylene Chloride
29,Polycarbonate,D - Poor,Methylene Chloride
30,Polyetherether Ketone (PEEK),A - Excellent,Methylene Chloride
31,Polypropylene,B1 - Good,Methylene Chloride
32,Polyurethane,D - Poor,Methylene Chloride
33,PPS (Ryton®),A - Excellent,Methylene Chloride
34,PTFE,A - Excellent,Methylene Chloride
35,PVC,D - Poor,Methylene Chloride
36,PVDF (Kynar®),B1 - Good,Methylene Chloride
37,Silicone,N/A,Methylene Chloride
38,stainless steel - 304,B - Good,Methylene Chloride
39,stainless steel - 316,B - Good,Methylene Chloride
40,Titanium,B - Good,Methylene Chloride
41,Tygon®,D - Poor,Methylene Chloride
42,Viton®,B - Good,Methylene Chloride
