,material,compatibility,chemical
0,,,Mineral Spirits
1,ABS plastic,D - Poor,Mineral Spirits
2,Acetal (Delrin®),A - Excellent,Mineral Spirits
3,Aluminum,A - Excellent,Mineral Spirits
4,Brass,N/A,Mineral Spirits
5,Bronze,A - Excellent,Mineral Spirits
6,Buna N (Nitrile),A - Excellent,Mineral Spirits
7,Carbon graphite,A - Excellent,Mineral Spirits
8,Carbon Steel,A - Excellent,Mineral Spirits
9,Carpenter 20,C - Fair,Mineral Spirits
10,Cast iron,B - Good,Mineral Spirits
11,Ceramic Al203,N/A,Mineral Spirits
12,Ceramic magnet,N/A,Mineral Spirits
13,ChemRaz (FFKM),N/A,Mineral Spirits
14,Copper,N/A,Mineral Spirits
15,CPVC,A - Excellent,Mineral Spirits
16,EPDM,D - Poor,Mineral Spirits
17,Epoxy,A - Excellent,Mineral Spirits
18,Fluorocarbon (FKM),A - Excellent,Mineral Spirits
19,Hastelloy-C®,B - Good,Mineral Spirits
20,Hypalon®,C - Fair,Mineral Spirits
21,Hytrel®,N/A,Mineral Spirits
22,Kalrez,N/A,Mineral Spirits
23,Kel-F®,A - Excellent,Mineral Spirits
24,LDPE,B - Good,Mineral Spirits
25,Natural rubber,D - Poor,Mineral Spirits
26,Neoprene,C - Fair,Mineral Spirits
27,NORYL®,A - Excellent,Mineral Spirits
28,Nylon,A - Excellent,Mineral Spirits
29,Polycarbonate,C - Fair,Mineral Spirits
30,Polyetherether Ketone (PEEK),N/A,Mineral Spirits
31,Polypropylene,B - Good,Mineral Spirits
32,Polyurethane,B - Good,Mineral Spirits
33,PPS (Ryton®),A - Excellent,Mineral Spirits
34,PTFE,A - Excellent,Mineral Spirits
35,PVC,A - Excellent,Mineral Spirits
36,PVDF (Kynar®),N/A,Mineral Spirits
37,Silicone,D - Poor,Mineral Spirits
38,stainless steel - 304,A - Excellent,Mineral Spirits
39,stainless steel - 316,A - Excellent,Mineral Spirits
40,Titanium,B - Good,Mineral Spirits
41,Tygon®,B - Good,Mineral Spirits
42,Viton®,A - Excellent,Mineral Spirits
