,material,compatibility,chemical
0,,,Monochloroacetic acid
1,ABS plastic,N/A,Monochloroacetic acid
2,Acetal (Delrin®),D - Poor,Monochloroacetic acid
3,Aluminum,D - Poor,Monochloroacetic acid
4,Brass,B - Good,Monochloroacetic acid
5,Bronze,B1 - Good,Monochloroacetic acid
6,Buna N (Nitrile),D - Poor,Monochloroacetic acid
7,Carbon graphite,B2 - Good,Monochloroacetic acid
8,Carbon Steel,D - Poor,Monochloroacetic acid
9,Carpenter 20,N/A,Monochloroacetic acid
10,Cast iron,D - Poor,Monochloroacetic acid
11,Ceramic Al203,N/A,Monochloroacetic acid
12,Ceramic magnet,N/A,Monochloroacetic acid
13,ChemRaz (FFKM),A - Excellent,Monochloroacetic acid
14,Copper,D - Poor,Monochloroacetic acid
15,CPVC,N/A,Monochloroacetic acid
16,EPDM,C - Fair,Monochloroacetic acid
17,Epoxy,N/A,Monochloroacetic acid
18,Fluorocarbon (FKM),B - Good,Monochloroacetic acid
19,Hastelloy-C®,A2 - Excellent,Monochloroacetic acid
20,Hypalon®,A2 - Excellent,Monochloroacetic acid
21,Hytrel®,D - Poor,Monochloroacetic acid
22,Kalrez,A - Excellent,Monochloroacetic acid
23,Kel-F®,B2 - Good,Monochloroacetic acid
24,LDPE,N/A,Monochloroacetic acid
25,Natural rubber,N/A,Monochloroacetic acid
26,Neoprene,A1 - Excellent,Monochloroacetic acid
27,NORYL®,N/A,Monochloroacetic acid
28,Nylon,D - Poor,Monochloroacetic acid
29,Polycarbonate,D - Poor,Monochloroacetic acid
30,Polyetherether Ketone (PEEK),A - Excellent,Monochloroacetic acid
31,Polypropylene,N/A,Monochloroacetic acid
32,Polyurethane,D - Poor,Monochloroacetic acid
33,PPS (Ryton®),N/A,Monochloroacetic acid
34,PTFE,A2 - Excellent,Monochloroacetic acid
35,PVC,N/A,Monochloroacetic acid
36,PVDF (Kynar®),B1 - Good,Monochloroacetic acid
37,Silicone,N/A,Monochloroacetic acid
38,stainless steel - 304,A1 - Excellent,Monochloroacetic acid
39,stainless steel - 316,A1 - Excellent,Monochloroacetic acid
40,Titanium,A2 - Excellent,Monochloroacetic acid
41,Tygon®,N/A,Monochloroacetic acid
42,Viton®,C - Fair,Monochloroacetic acid
