,material,compatibility,chemical
0,,,Monoethanolamine
1,ABS plastic,N/A,Monoethanolamine
2,Acetal (Delrin®),D - Poor,Monoethanolamine
3,Aluminum,B - Good,Monoethanolamine
4,Brass,N/A,Monoethanolamine
5,Bronze,A - Excellent,Monoethanolamine
6,Buna N (Nitrile),B1 - Good,Monoethanolamine
7,Carbon graphite,A - Excellent,Monoethanolamine
8,Carbon Steel,B - Good,Monoethanolamine
9,Carpenter 20,N/A,Monoethanolamine
10,Cast iron,A - Excellent,Monoethanolamine
11,Ceramic Al203,N/A,Monoethanolamine
12,Ceramic magnet,N/A,Monoethanolamine
13,ChemRaz (FFKM),A - Excellent,Monoethanolamine
14,Copper,D - Poor,Monoethanolamine
15,CPVC,N/A,Monoethanolamine
16,EPDM,B - Good,Monoethanolamine
17,Epoxy,A - Excellent,Monoethanolamine
18,Fluorocarbon (FKM),D - Poor,Monoethanolamine
19,Hastelloy-C®,N/A,Monoethanolamine
20,Hypalon®,D - Poor,Monoethanolamine
21,Hytrel®,N/A,Monoethanolamine
22,Kalrez,A - Excellent,Monoethanolamine
23,Kel-F®,N/A,Monoethanolamine
24,LDPE,C - Fair,Monoethanolamine
25,Natural rubber,B - Good,Monoethanolamine
26,Neoprene,D - Poor,Monoethanolamine
27,NORYL®,A - Excellent,Monoethanolamine
28,Nylon,A - Excellent,Monoethanolamine
29,Polycarbonate,N/A,Monoethanolamine
30,Polyetherether Ketone (PEEK),N/A,Monoethanolamine
31,Polypropylene,B - Good,Monoethanolamine
32,Polyurethane,D - Poor,Monoethanolamine
33,PPS (Ryton®),A - Excellent,Monoethanolamine
34,PTFE,A - Excellent,Monoethanolamine
35,PVC,D - Poor,Monoethanolamine
36,PVDF (Kynar®),C - Fair,Monoethanolamine
37,Silicone,B - Good,Monoethanolamine
38,stainless steel - 304,A - Excellent,Monoethanolamine
39,stainless steel - 316,A - Excellent,Monoethanolamine
40,Titanium,B - Good,Monoethanolamine
41,Tygon®,N/A,Monoethanolamine
42,Viton®,D - Poor,Monoethanolamine
