,material,compatibility,chemical
0,,,Motor oil
1,ABS plastic,C - Fair,Motor oil
2,Acetal (Delrin®),B - Good,Motor oil
3,Aluminum,A1 - Excellent,Motor oil
4,Brass,N/A,Motor oil
5,Bronze,A1 - Excellent,Motor oil
6,Buna N (Nitrile),A - Excellent,Motor oil
7,Carbon graphite,A2 - Excellent,Motor oil
8,Carbon Steel,A - Excellent,Motor oil
9,Carpenter 20,N/A,Motor oil
10,Cast iron,N/A,Motor oil
11,Ceramic Al203,A - Excellent,Motor oil
12,Ceramic magnet,A - Excellent,Motor oil
13,ChemRaz (FFKM),N/A,Motor oil
14,Copper,N/A,Motor oil
15,CPVC,A - Excellent,Motor oil
16,EPDM,D - Poor,Motor oil
17,Epoxy,N/A,Motor oil
18,Fluorocarbon (FKM),A - Excellent,Motor oil
19,Hastelloy-C®,N/A,Motor oil
20,Hypalon®,N/A,Motor oil
21,Hytrel®,B - Good,Motor oil
22,Kalrez,A - Excellent,Motor oil
23,Kel-F®,A2 - Excellent,Motor oil
24,LDPE,C1 - Fair,Motor oil
25,Natural rubber,N/A,Motor oil
26,Neoprene,B1 - Good,Motor oil
27,NORYL®,A - Excellent,Motor oil
28,Nylon,A2 - Excellent,Motor oil
29,Polycarbonate,A - Excellent,Motor oil
30,Polyetherether Ketone (PEEK),A - Excellent,Motor oil
31,Polypropylene,A1 - Excellent,Motor oil
32,Polyurethane,B - Good,Motor oil
33,PPS (Ryton®),A - Excellent,Motor oil
34,PTFE,A - Excellent,Motor oil
35,PVC,B - Good,Motor oil
36,PVDF (Kynar®),B - Good,Motor oil
37,Silicone,N/A,Motor oil
38,stainless steel - 304,A1 - Excellent,Motor oil
39,stainless steel - 316,A2 - Excellent,Motor oil
40,Titanium,A1 - Excellent,Motor oil
41,Tygon®,A2 - Excellent,Motor oil
42,Viton®,N/A,Motor oil
