,material,compatibility,chemical
0,,,Naphtha
1,ABS plastic,D - Poor,Naphtha
2,Acetal (Delrin®),A1 - Excellent,Naphtha
3,Aluminum,A - Excellent,Naphtha
4,Brass,A - Excellent,Naphtha
5,Bronze,A - Excellent,Naphtha
6,Buna N (Nitrile),A - Excellent,Naphtha
7,Carbon graphite,A - Excellent,Naphtha
8,Carbon Steel,B - Good,Naphtha
9,Carpenter 20,B - Good,Naphtha
10,Cast iron,B - Good,Naphtha
11,Ceramic Al203,N/A,Naphtha
12,Ceramic magnet,N/A,Naphtha
13,ChemRaz (FFKM),A - Excellent,Naphtha
14,Copper,A - Excellent,Naphtha
15,CPVC,A - Excellent,Naphtha
16,EPDM,D - Poor,Naphtha
17,Epoxy,A - Excellent,Naphtha
18,Fluorocarbon (FKM),A - Excellent,Naphtha
19,Hastelloy-C®,B - Good,Naphtha
20,Hypalon®,D - Poor,Naphtha
21,Hytrel®,B - Good,Naphtha
22,Kalrez,A - Excellent,Naphtha
23,Kel-F®,A - Excellent,Naphtha
24,LDPE,A1 - Excellent,Naphtha
25,Natural rubber,D - Poor,Naphtha
26,Neoprene,D - Poor,Naphtha
27,NORYL®,D - Poor,Naphtha
28,Nylon,A - Excellent,Naphtha
29,Polycarbonate,B - Good,Naphtha
30,Polyetherether Ketone (PEEK),A - Excellent,Naphtha
31,Polypropylene,B - Good,Naphtha
32,Polyurethane,C - Fair,Naphtha
33,PPS (Ryton®),A - Excellent,Naphtha
34,PTFE,B - Good,Naphtha
35,PVC,A1 - Excellent,Naphtha
36,PVDF (Kynar®),A - Excellent,Naphtha
37,Silicone,D - Poor,Naphtha
38,stainless steel - 304,A - Excellent,Naphtha
39,stainless steel - 316,A - Excellent,Naphtha
40,Titanium,B - Good,Naphtha
41,Tygon®,C - Fair,Naphtha
42,Viton®,A - Excellent,Naphtha
