,material,compatibility,chemical
0,,,Natural Gas
1,ABS plastic,B - Good,Natural Gas
2,Acetal (Delrin®),B - Good,Natural Gas
3,Aluminum,A - Excellent,Natural Gas
4,Brass,N/A,Natural Gas
5,Bronze,A - Excellent,Natural Gas
6,Buna N (Nitrile),A - Excellent,Natural Gas
7,Carbon graphite,N/A,Natural Gas
8,Carbon Steel,A - Excellent,Natural Gas
9,Carpenter 20,N/A,Natural Gas
10,Cast iron,A - Excellent,Natural Gas
11,Ceramic Al203,N/A,Natural Gas
12,Ceramic magnet,N/A,Natural Gas
13,ChemRaz (FFKM),A - Excellent,Natural Gas
14,Copper,N/A,Natural Gas
15,CPVC,N/A,Natural Gas
16,EPDM,D - Poor,Natural Gas
17,Epoxy,N/A,Natural Gas
18,Fluorocarbon (FKM),A - Excellent,Natural Gas
19,Hastelloy-C®,N/A,Natural Gas
20,Hypalon®,N/A,Natural Gas
21,Hytrel®,N/A,Natural Gas
22,Kalrez,A - Excellent,Natural Gas
23,Kel-F®,N/A,Natural Gas
24,LDPE,A - Excellent,Natural Gas
25,Natural rubber,N/A,Natural Gas
26,Neoprene,A - Excellent,Natural Gas
27,NORYL®,N/A,Natural Gas
28,Nylon,N/A,Natural Gas
29,Polycarbonate,N/A,Natural Gas
30,Polyetherether Ketone (PEEK),A - Excellent,Natural Gas
31,Polypropylene,A - Excellent,Natural Gas
32,Polyurethane,C - Fair,Natural Gas
33,PPS (Ryton®),N/A,Natural Gas
34,PTFE,A - Excellent,Natural Gas
35,PVC,A - Excellent,Natural Gas
36,PVDF (Kynar®),N/A,Natural Gas
37,Silicone,A - Excellent,Natural Gas
38,stainless steel - 304,A - Excellent,Natural Gas
39,stainless steel - 316,A - Excellent,Natural Gas
40,Titanium,N/A,Natural Gas
41,Tygon®,A - Excellent,Natural Gas
42,Viton®,A - Excellent,Natural Gas
