,material,compatibility,chemical
0,,,Nickel Nitrate
1,ABS plastic,A - Excellent,Nickel Nitrate
2,Acetal (Delrin®),N/A,Nickel Nitrate
3,Aluminum,D - Poor,Nickel Nitrate
4,Brass,N/A,Nickel Nitrate
5,Bronze,A2 - Excellent,Nickel Nitrate
6,Buna N (Nitrile),A1 - Excellent,Nickel Nitrate
7,Carbon graphite,N/A,Nickel Nitrate
8,Carbon Steel,C - Fair,Nickel Nitrate
9,Carpenter 20,N/A,Nickel Nitrate
10,Cast iron,C - Fair,Nickel Nitrate
11,Ceramic Al203,A - Excellent,Nickel Nitrate
12,Ceramic magnet,A - Excellent,Nickel Nitrate
13,ChemRaz (FFKM),A - Excellent,Nickel Nitrate
14,Copper,N/A,Nickel Nitrate
15,CPVC,A2 - Excellent,Nickel Nitrate
16,EPDM,A2 - Excellent,Nickel Nitrate
17,Epoxy,A1 - Excellent,Nickel Nitrate
18,Fluorocarbon (FKM),A - Excellent,Nickel Nitrate
19,Hastelloy-C®,B2 - Good,Nickel Nitrate
20,Hypalon®,D - Poor,Nickel Nitrate
21,Hytrel®,N/A,Nickel Nitrate
22,Kalrez,A - Excellent,Nickel Nitrate
23,Kel-F®,A2 - Excellent,Nickel Nitrate
24,LDPE,A - Excellent,Nickel Nitrate
25,Natural rubber,A1 - Excellent,Nickel Nitrate
26,Neoprene,A2 - Excellent,Nickel Nitrate
27,NORYL®,A2 - Excellent,Nickel Nitrate
28,Nylon,A1 - Excellent,Nickel Nitrate
29,Polycarbonate,D - Poor,Nickel Nitrate
30,Polyetherether Ketone (PEEK),A - Excellent,Nickel Nitrate
31,Polypropylene,A2 - Excellent,Nickel Nitrate
32,Polyurethane,N/A,Nickel Nitrate
33,PPS (Ryton®),N/A,Nickel Nitrate
34,PTFE,A2 - Excellent,Nickel Nitrate
35,PVC,A - Excellent,Nickel Nitrate
36,PVDF (Kynar®),A2 - Excellent,Nickel Nitrate
37,Silicone,N/A,Nickel Nitrate
38,stainless steel - 304,B - Good,Nickel Nitrate
39,stainless steel - 316,B2 - Good,Nickel Nitrate
40,Titanium,N/A,Nickel Nitrate
41,Tygon®,A2 - Excellent,Nickel Nitrate
42,Viton®,A2 - Excellent,Nickel Nitrate
