,material,compatibility,chemical
0,,,Nitrating Acid (>15% H2SO4)
1,ABS plastic,N/A,Nitrating Acid (>15% H2SO4)
2,Acetal (Delrin®),N/A,Nitrating Acid (>15% H2SO4)
3,Aluminum,D - Poor,Nitrating Acid (>15% H2SO4)
4,Brass,N/A,Nitrating Acid (>15% H2SO4)
5,Bronze,N/A,Nitrating Acid (>15% H2SO4)
6,Buna N (Nitrile),N/A,Nitrating Acid (>15% H2SO4)
7,Carbon graphite,N/A,Nitrating Acid (>15% H2SO4)
8,Carbon Steel,N/A,Nitrating Acid (>15% H2SO4)
9,Carpenter 20,D - Poor,Nitrating Acid (>15% H2SO4)
10,Cast iron,C - Fair,Nitrating Acid (>15% H2SO4)
11,Ceramic Al203,N/A,Nitrating Acid (>15% H2SO4)
12,Ceramic magnet,N/A,Nitrating Acid (>15% H2SO4)
13,ChemRaz (FFKM),N/A,Nitrating Acid (>15% H2SO4)
14,Copper,N/A,Nitrating Acid (>15% H2SO4)
15,CPVC,N/A,Nitrating Acid (>15% H2SO4)
16,EPDM,N/A,Nitrating Acid (>15% H2SO4)
17,Epoxy,N/A,Nitrating Acid (>15% H2SO4)
18,Fluorocarbon (FKM),D - Poor,Nitrating Acid (>15% H2SO4)
19,Hastelloy-C®,A - Excellent,Nitrating Acid (>15% H2SO4)
20,Hypalon®,N/A,Nitrating Acid (>15% H2SO4)
21,Hytrel®,N/A,Nitrating Acid (>15% H2SO4)
22,Kalrez,N/A,Nitrating Acid (>15% H2SO4)
23,Kel-F®,N/A,Nitrating Acid (>15% H2SO4)
24,LDPE,N/A,Nitrating Acid (>15% H2SO4)
25,Natural rubber,C - Fair,Nitrating Acid (>15% H2SO4)
26,Neoprene,A - Excellent,Nitrating Acid (>15% H2SO4)
27,NORYL®,N/A,Nitrating Acid (>15% H2SO4)
28,Nylon,N/A,Nitrating Acid (>15% H2SO4)
29,Polycarbonate,N/A,Nitrating Acid (>15% H2SO4)
30,Polyetherether Ketone (PEEK),N/A,Nitrating Acid (>15% H2SO4)
31,Polypropylene,C - Fair,Nitrating Acid (>15% H2SO4)
32,Polyurethane,D - Poor,Nitrating Acid (>15% H2SO4)
33,PPS (Ryton®),C - Fair,Nitrating Acid (>15% H2SO4)
34,PTFE,A - Excellent,Nitrating Acid (>15% H2SO4)
35,PVC,D - Poor,Nitrating Acid (>15% H2SO4)
36,PVDF (Kynar®),N/A,Nitrating Acid (>15% H2SO4)
37,Silicone,N/A,Nitrating Acid (>15% H2SO4)
38,stainless steel - 304,C - Fair,Nitrating Acid (>15% H2SO4)
39,stainless steel - 316,D - Poor,Nitrating Acid (>15% H2SO4)
40,Titanium,C - Fair,Nitrating Acid (>15% H2SO4)
41,Tygon®,D - Poor,Nitrating Acid (>15% H2SO4)
42,Viton®,N/A,Nitrating Acid (>15% H2SO4)
