,material,compatibility,chemical
0,,,Nitric Acid (50%)
1,ABS plastic,B - Good,Nitric Acid (50%)
2,Acetal (Delrin®),D - Poor,Nitric Acid (50%)
3,Aluminum,D - Poor,Nitric Acid (50%)
4,Brass,D - Poor,Nitric Acid (50%)
5,Bronze,D - Poor,Nitric Acid (50%)
6,Buna N (Nitrile),D - Poor,Nitric Acid (50%)
7,Carbon graphite,A - Excellent,Nitric Acid (50%)
8,Carbon Steel,D - Poor,Nitric Acid (50%)
9,Carpenter 20,D - Poor,Nitric Acid (50%)
10,Cast iron,D - Poor,Nitric Acid (50%)
11,Ceramic Al203,A - Excellent,Nitric Acid (50%)
12,Ceramic magnet,N/A,Nitric Acid (50%)
13,ChemRaz (FFKM),N/A,Nitric Acid (50%)
14,Copper,D - Poor,Nitric Acid (50%)
15,CPVC,A2 - Excellent,Nitric Acid (50%)
16,EPDM,A1 - Excellent,Nitric Acid (50%)
17,Epoxy,B1 - Good,Nitric Acid (50%)
18,Fluorocarbon (FKM),A - Excellent,Nitric Acid (50%)
19,Hastelloy-C®,A1 - Excellent,Nitric Acid (50%)
20,Hypalon®,D - Poor,Nitric Acid (50%)
21,Hytrel®,D - Poor,Nitric Acid (50%)
22,Kalrez,A - Excellent,Nitric Acid (50%)
23,Kel-F®,A1 - Excellent,Nitric Acid (50%)
24,LDPE,C - Fair,Nitric Acid (50%)
25,Natural rubber,D - Poor,Nitric Acid (50%)
26,Neoprene,D - Poor,Nitric Acid (50%)
27,NORYL®,B2 - Good,Nitric Acid (50%)
28,Nylon,D - Poor,Nitric Acid (50%)
29,Polycarbonate,B1 - Good,Nitric Acid (50%)
30,Polyetherether Ketone (PEEK),A - Excellent,Nitric Acid (50%)
31,Polypropylene,A2 - Excellent,Nitric Acid (50%)
32,Polyurethane,D - Poor,Nitric Acid (50%)
33,PPS (Ryton®),C - Fair,Nitric Acid (50%)
34,PTFE,A - Excellent,Nitric Acid (50%)
35,PVC,A1 - Excellent,Nitric Acid (50%)
36,PVDF (Kynar®),A - Excellent,Nitric Acid (50%)
37,Silicone,D - Poor,Nitric Acid (50%)
38,stainless steel - 304,A - Excellent,Nitric Acid (50%)
39,stainless steel - 316,A - Excellent,Nitric Acid (50%)
40,Titanium,A1 - Excellent,Nitric Acid (50%)
41,Tygon®,D - Poor,Nitric Acid (50%)
42,Viton®,A - Excellent,Nitric Acid (50%)
