,material,compatibility,chemical
0,,,Nitric Acid (Concentrated)
1,ABS plastic,B - Good,Nitric Acid (Concentrated)
2,Acetal (Delrin®),D - Poor,Nitric Acid (Concentrated)
3,Aluminum,A - Excellent,Nitric Acid (Concentrated)
4,Brass,D - Poor,Nitric Acid (Concentrated)
5,Bronze,D - Poor,Nitric Acid (Concentrated)
6,Buna N (Nitrile),D - Poor,Nitric Acid (Concentrated)
7,Carbon graphite,A - Excellent,Nitric Acid (Concentrated)
8,Carbon Steel,D - Poor,Nitric Acid (Concentrated)
9,Carpenter 20,D - Poor,Nitric Acid (Concentrated)
10,Cast iron,D - Poor,Nitric Acid (Concentrated)
11,Ceramic Al203,A - Excellent,Nitric Acid (Concentrated)
12,Ceramic magnet,N/A,Nitric Acid (Concentrated)
13,ChemRaz (FFKM),N/A,Nitric Acid (Concentrated)
14,Copper,D - Poor,Nitric Acid (Concentrated)
15,CPVC,A - Excellent,Nitric Acid (Concentrated)
16,EPDM,A1 - Excellent,Nitric Acid (Concentrated)
17,Epoxy,A1 - Excellent,Nitric Acid (Concentrated)
18,Fluorocarbon (FKM),A - Excellent,Nitric Acid (Concentrated)
19,Hastelloy-C®,A1 - Excellent,Nitric Acid (Concentrated)
20,Hypalon®,B - Good,Nitric Acid (Concentrated)
21,Hytrel®,C - Fair,Nitric Acid (Concentrated)
22,Kalrez,A - Excellent,Nitric Acid (Concentrated)
23,Kel-F®,A1 - Excellent,Nitric Acid (Concentrated)
24,LDPE,B - Good,Nitric Acid (Concentrated)
25,Natural rubber,D - Poor,Nitric Acid (Concentrated)
26,Neoprene,B - Good,Nitric Acid (Concentrated)
27,NORYL®,A - Excellent,Nitric Acid (Concentrated)
28,Nylon,D - Poor,Nitric Acid (Concentrated)
29,Polycarbonate,A - Excellent,Nitric Acid (Concentrated)
30,Polyetherether Ketone (PEEK),A - Excellent,Nitric Acid (Concentrated)
31,Polypropylene,A - Excellent,Nitric Acid (Concentrated)
32,Polyurethane,D - Poor,Nitric Acid (Concentrated)
33,PPS (Ryton®),B1 - Good,Nitric Acid (Concentrated)
34,PTFE,A - Excellent,Nitric Acid (Concentrated)
35,PVC,A1 - Excellent,Nitric Acid (Concentrated)
36,PVDF (Kynar®),A1 - Excellent,Nitric Acid (Concentrated)
37,Silicone,C - Fair,Nitric Acid (Concentrated)
38,stainless steel - 304,A - Excellent,Nitric Acid (Concentrated)
39,stainless steel - 316,A - Excellent,Nitric Acid (Concentrated)
40,Titanium,A1 - Excellent,Nitric Acid (Concentrated)
41,Tygon®,D - Poor,Nitric Acid (Concentrated)
42,Viton®,A - Excellent,Nitric Acid (Concentrated)
