,material,compatibility,chemical
0,,,Nitromethane
1,ABS plastic,D - Poor,Nitromethane
2,Acetal (Delrin®),A - Excellent,Nitromethane
3,Aluminum,A - Excellent,Nitromethane
4,Brass,N/A,Nitromethane
5,Bronze,N/A,Nitromethane
6,Buna N (Nitrile),D - Poor,Nitromethane
7,Carbon graphite,A2 - Excellent,Nitromethane
8,Carbon Steel,B - Good,Nitromethane
9,Carpenter 20,N/A,Nitromethane
10,Cast iron,N/A,Nitromethane
11,Ceramic Al203,N/A,Nitromethane
12,Ceramic magnet,N/A,Nitromethane
13,ChemRaz (FFKM),A - Excellent,Nitromethane
14,Copper,A - Excellent,Nitromethane
15,CPVC,N/A,Nitromethane
16,EPDM,B2 - Good,Nitromethane
17,Epoxy,N/A,Nitromethane
18,Fluorocarbon (FKM),D - Poor,Nitromethane
19,Hastelloy-C®,A - Excellent,Nitromethane
20,Hypalon®,N/A,Nitromethane
21,Hytrel®,C - Fair,Nitromethane
22,Kalrez,A - Excellent,Nitromethane
23,Kel-F®,A - Excellent,Nitromethane
24,LDPE,A - Excellent,Nitromethane
25,Natural rubber,B1 - Good,Nitromethane
26,Neoprene,D - Poor,Nitromethane
27,NORYL®,D - Poor,Nitromethane
28,Nylon,B1 - Good,Nitromethane
29,Polycarbonate,D - Poor,Nitromethane
30,Polyetherether Ketone (PEEK),A - Excellent,Nitromethane
31,Polypropylene,B2 - Good,Nitromethane
32,Polyurethane,D - Poor,Nitromethane
33,PPS (Ryton®),A2 - Excellent,Nitromethane
34,PTFE,A - Excellent,Nitromethane
35,PVC,B2 - Good,Nitromethane
36,PVDF (Kynar®),A2 - Excellent,Nitromethane
37,Silicone,D - Poor,Nitromethane
38,stainless steel - 304,A - Excellent,Nitromethane
39,stainless steel - 316,A1 - Excellent,Nitromethane
40,Titanium,N/A,Nitromethane
41,Tygon®,B2 - Good,Nitromethane
42,Viton®,D - Poor,Nitromethane
