,material,compatibility,chemical
0,,,Nitrous Oxide
1,ABS plastic,N/A,Nitrous Oxide
2,Acetal (Delrin®),N/A,Nitrous Oxide
3,Aluminum,B - Good,Nitrous Oxide
4,Brass,B - Good,Nitrous Oxide
5,Bronze,D - Poor,Nitrous Oxide
6,Buna N (Nitrile),N/A,Nitrous Oxide
7,Carbon graphite,C - Fair,Nitrous Oxide
8,Carbon Steel,B - Good,Nitrous Oxide
9,Carpenter 20,B - Good,Nitrous Oxide
10,Cast iron,N/A,Nitrous Oxide
11,Ceramic Al203,N/A,Nitrous Oxide
12,Ceramic magnet,N/A,Nitrous Oxide
13,ChemRaz (FFKM),A - Excellent,Nitrous Oxide
14,Copper,B - Good,Nitrous Oxide
15,CPVC,N/A,Nitrous Oxide
16,EPDM,A - Excellent,Nitrous Oxide
17,Epoxy,N/A,Nitrous Oxide
18,Fluorocarbon (FKM),A - Excellent,Nitrous Oxide
19,Hastelloy-C®,B - Good,Nitrous Oxide
20,Hypalon®,N/A,Nitrous Oxide
21,Hytrel®,N/A,Nitrous Oxide
22,Kalrez,A - Excellent,Nitrous Oxide
23,Kel-F®,N/A,Nitrous Oxide
24,LDPE,C - Fair,Nitrous Oxide
25,Natural rubber,A - Excellent,Nitrous Oxide
26,Neoprene,A - Excellent,Nitrous Oxide
27,NORYL®,N/A,Nitrous Oxide
28,Nylon,C - Fair,Nitrous Oxide
29,Polycarbonate,N/A,Nitrous Oxide
30,Polyetherether Ketone (PEEK),A - Excellent,Nitrous Oxide
31,Polypropylene,D - Poor,Nitrous Oxide
32,Polyurethane,B - Good,Nitrous Oxide
33,PPS (Ryton®),N/A,Nitrous Oxide
34,PTFE,A - Excellent,Nitrous Oxide
35,PVC,A - Excellent,Nitrous Oxide
36,PVDF (Kynar®),D - Poor,Nitrous Oxide
37,Silicone,N/A,Nitrous Oxide
38,stainless steel - 304,B - Good,Nitrous Oxide
39,stainless steel - 316,B - Good,Nitrous Oxide
40,Titanium,N/A,Nitrous Oxide
41,Tygon®,A - Excellent,Nitrous Oxide
42,Viton®,B - Good,Nitrous Oxide
