,material,compatibility,chemical
0,,,Oils:Anise
1,ABS plastic,N/A,Oils:Anise
2,Acetal (Delrin®),D - Poor,Oils:Anise
3,Aluminum,N/A,Oils:Anise
4,Brass,N/A,Oils:Anise
5,Bronze,A - Excellent,Oils:Anise
6,Buna N (Nitrile),N/A,Oils:Anise
7,Carbon graphite,N/A,Oils:Anise
8,Carbon Steel,N/A,Oils:Anise
9,Carpenter 20,A - Excellent,Oils:Anise
10,Cast iron,A - Excellent,Oils:Anise
11,Ceramic Al203,N/A,Oils:Anise
12,Ceramic magnet,N/A,Oils:Anise
13,ChemRaz (FFKM),N/A,Oils:Anise
14,Copper,N/A,Oils:Anise
15,CPVC,N/A,Oils:Anise
16,EPDM,N/A,Oils:Anise
17,Epoxy,A - Excellent,Oils:Anise
18,Fluorocarbon (FKM),N/A,Oils:Anise
19,Hastelloy-C®,N/A,Oils:Anise
20,Hypalon®,N/A,Oils:Anise
21,Hytrel®,N/A,Oils:Anise
22,Kalrez,N/A,Oils:Anise
23,Kel-F®,N/A,Oils:Anise
24,LDPE,N/A,Oils:Anise
25,Natural rubber,N/A,Oils:Anise
26,Neoprene,D - Poor,Oils:Anise
27,NORYL®,N/A,Oils:Anise
28,Nylon,N/A,Oils:Anise
29,Polycarbonate,N/A,Oils:Anise
30,Polyetherether Ketone (PEEK),N/A,Oils:Anise
31,Polypropylene,N/A,Oils:Anise
32,Polyurethane,N/A,Oils:Anise
33,PPS (Ryton®),N/A,Oils:Anise
34,PTFE,N/A,Oils:Anise
35,PVC,N/A,Oils:Anise
36,PVDF (Kynar®),N/A,Oils:Anise
37,Silicone,N/A,Oils:Anise
38,stainless steel - 304,N/A,Oils:Anise
39,stainless steel - 316,A - Excellent,Oils:Anise
40,Titanium,N/A,Oils:Anise
41,Tygon®,N/A,Oils:Anise
42,Viton®,N/A,Oils:Anise
