,material,compatibility,chemical
0,,,Oils:Bay
1,ABS plastic,N/A,Oils:Bay
2,Acetal (Delrin®),D - Poor,Oils:Bay
3,Aluminum,N/A,Oils:Bay
4,Brass,N/A,Oils:Bay
5,Bronze,A - Excellent,Oils:Bay
6,Buna N (Nitrile),N/A,Oils:Bay
7,Carbon graphite,N/A,Oils:Bay
8,Carbon Steel,N/A,Oils:Bay
9,Carpenter 20,A - Excellent,Oils:Bay
10,Cast iron,A - Excellent,Oils:Bay
11,Ceramic Al203,N/A,Oils:Bay
12,Ceramic magnet,N/A,Oils:Bay
13,ChemRaz (FFKM),N/A,Oils:Bay
14,Copper,N/A,Oils:Bay
15,CPVC,N/A,Oils:Bay
16,EPDM,N/A,Oils:Bay
17,Epoxy,A - Excellent,Oils:Bay
18,Fluorocarbon (FKM),A - Excellent,Oils:Bay
19,Hastelloy-C®,N/A,Oils:Bay
20,Hypalon®,N/A,Oils:Bay
21,Hytrel®,N/A,Oils:Bay
22,Kalrez,N/A,Oils:Bay
23,Kel-F®,N/A,Oils:Bay
24,LDPE,N/A,Oils:Bay
25,Natural rubber,N/A,Oils:Bay
26,Neoprene,D - Poor,Oils:Bay
27,NORYL®,N/A,Oils:Bay
28,Nylon,N/A,Oils:Bay
29,Polycarbonate,N/A,Oils:Bay
30,Polyetherether Ketone (PEEK),N/A,Oils:Bay
31,Polypropylene,N/A,Oils:Bay
32,Polyurethane,N/A,Oils:Bay
33,PPS (Ryton®),N/A,Oils:Bay
34,PTFE,N/A,Oils:Bay
35,PVC,N/A,Oils:Bay
36,PVDF (Kynar®),A - Excellent,Oils:Bay
37,Silicone,N/A,Oils:Bay
38,stainless steel - 304,N/A,Oils:Bay
39,stainless steel - 316,A - Excellent,Oils:Bay
40,Titanium,N/A,Oils:Bay
41,Tygon®,N/A,Oils:Bay
42,Viton®,A - Excellent,Oils:Bay
