,material,compatibility,chemical
0,,,Oils:Castor
1,ABS plastic,A - Excellent,Oils:Castor
2,Acetal (Delrin®),A - Excellent,Oils:Castor
3,Aluminum,A - Excellent,Oils:Castor
4,Brass,A - Excellent,Oils:Castor
5,Bronze,N/A,Oils:Castor
6,Buna N (Nitrile),B - Good,Oils:Castor
7,Carbon graphite,N/A,Oils:Castor
8,Carbon Steel,N/A,Oils:Castor
9,Carpenter 20,A - Excellent,Oils:Castor
10,Cast iron,A - Excellent,Oils:Castor
11,Ceramic Al203,A - Excellent,Oils:Castor
12,Ceramic magnet,A - Excellent,Oils:Castor
13,ChemRaz (FFKM),A - Excellent,Oils:Castor
14,Copper,A - Excellent,Oils:Castor
15,CPVC,C - Fair,Oils:Castor
16,EPDM,B - Good,Oils:Castor
17,Epoxy,A - Excellent,Oils:Castor
18,Fluorocarbon (FKM),A - Excellent,Oils:Castor
19,Hastelloy-C®,N/A,Oils:Castor
20,Hypalon®,A - Excellent,Oils:Castor
21,Hytrel®,B1 - Good,Oils:Castor
22,Kalrez,A - Excellent,Oils:Castor
23,Kel-F®,N/A,Oils:Castor
24,LDPE,N/A,Oils:Castor
25,Natural rubber,A - Excellent,Oils:Castor
26,Neoprene,A - Excellent,Oils:Castor
27,NORYL®,N/A,Oils:Castor
28,Nylon,A - Excellent,Oils:Castor
29,Polycarbonate,N/A,Oils:Castor
30,Polyetherether Ketone (PEEK),A - Excellent,Oils:Castor
31,Polypropylene,A - Excellent,Oils:Castor
32,Polyurethane,A - Excellent,Oils:Castor
33,PPS (Ryton®),N/A,Oils:Castor
34,PTFE,A - Excellent,Oils:Castor
35,PVC,A - Excellent,Oils:Castor
36,PVDF (Kynar®),A - Excellent,Oils:Castor
37,Silicone,A - Excellent,Oils:Castor
38,stainless steel - 304,A - Excellent,Oils:Castor
39,stainless steel - 316,A - Excellent,Oils:Castor
40,Titanium,A - Excellent,Oils:Castor
41,Tygon®,A - Excellent,Oils:Castor
42,Viton®,A - Excellent,Oils:Castor
