,material,compatibility,chemical
0,,,Oils:Cinnamon
1,ABS plastic,N/A,Oils:Cinnamon
2,Acetal (Delrin®),D - Poor,Oils:Cinnamon
3,Aluminum,N/A,Oils:Cinnamon
4,Brass,N/A,Oils:Cinnamon
5,Bronze,N/A,Oils:Cinnamon
6,Buna N (Nitrile),N/A,Oils:Cinnamon
7,Carbon graphite,N/A,Oils:Cinnamon
8,Carbon Steel,N/A,Oils:Cinnamon
9,Carpenter 20,A - Excellent,Oils:Cinnamon
10,Cast iron,N/A,Oils:Cinnamon
11,Ceramic Al203,N/A,Oils:Cinnamon
12,Ceramic magnet,N/A,Oils:Cinnamon
13,ChemRaz (FFKM),N/A,Oils:Cinnamon
14,Copper,N/A,Oils:Cinnamon
15,CPVC,N/A,Oils:Cinnamon
16,EPDM,N/A,Oils:Cinnamon
17,Epoxy,A - Excellent,Oils:Cinnamon
18,Fluorocarbon (FKM),N/A,Oils:Cinnamon
19,Hastelloy-C®,N/A,Oils:Cinnamon
20,Hypalon®,N/A,Oils:Cinnamon
21,Hytrel®,N/A,Oils:Cinnamon
22,Kalrez,N/A,Oils:Cinnamon
23,Kel-F®,N/A,Oils:Cinnamon
24,LDPE,D - Poor,Oils:Cinnamon
25,Natural rubber,N/A,Oils:Cinnamon
26,Neoprene,C - Fair,Oils:Cinnamon
27,NORYL®,N/A,Oils:Cinnamon
28,Nylon,N/A,Oils:Cinnamon
29,Polycarbonate,D - Poor,Oils:Cinnamon
30,Polyetherether Ketone (PEEK),N/A,Oils:Cinnamon
31,Polypropylene,D - Poor,Oils:Cinnamon
32,Polyurethane,N/A,Oils:Cinnamon
33,PPS (Ryton®),N/A,Oils:Cinnamon
34,PTFE,A - Excellent,Oils:Cinnamon
35,PVC,D - Poor,Oils:Cinnamon
36,PVDF (Kynar®),N/A,Oils:Cinnamon
37,Silicone,N/A,Oils:Cinnamon
38,stainless steel - 304,A - Excellent,Oils:Cinnamon
39,stainless steel - 316,A - Excellent,Oils:Cinnamon
40,Titanium,N/A,Oils:Cinnamon
41,Tygon®,N/A,Oils:Cinnamon
42,Viton®,A - Excellent,Oils:Cinnamon
