,material,compatibility,chemical
0,,,Oils:Citric
1,ABS plastic,D - Poor,Oils:Citric
2,Acetal (Delrin®),A - Excellent,Oils:Citric
3,Aluminum,A - Excellent,Oils:Citric
4,Brass,B - Good,Oils:Citric
5,Bronze,N/A,Oils:Citric
6,Buna N (Nitrile),D - Poor,Oils:Citric
7,Carbon graphite,N/A,Oils:Citric
8,Carbon Steel,D - Poor,Oils:Citric
9,Carpenter 20,D - Poor,Oils:Citric
10,Cast iron,D - Poor,Oils:Citric
11,Ceramic Al203,N/A,Oils:Citric
12,Ceramic magnet,N/A,Oils:Citric
13,ChemRaz (FFKM),N/A,Oils:Citric
14,Copper,N/A,Oils:Citric
15,CPVC,N/A,Oils:Citric
16,EPDM,B - Good,Oils:Citric
17,Epoxy,A - Excellent,Oils:Citric
18,Fluorocarbon (FKM),A - Excellent,Oils:Citric
19,Hastelloy-C®,A - Excellent,Oils:Citric
20,Hypalon®,N/A,Oils:Citric
21,Hytrel®,N/A,Oils:Citric
22,Kalrez,N/A,Oils:Citric
23,Kel-F®,N/A,Oils:Citric
24,LDPE,A - Excellent,Oils:Citric
25,Natural rubber,N/A,Oils:Citric
26,Neoprene,D - Poor,Oils:Citric
27,NORYL®,A - Excellent,Oils:Citric
28,Nylon,A - Excellent,Oils:Citric
29,Polycarbonate,A - Excellent,Oils:Citric
30,Polyetherether Ketone (PEEK),N/A,Oils:Citric
31,Polypropylene,A - Excellent,Oils:Citric
32,Polyurethane,N/A,Oils:Citric
33,PPS (Ryton®),N/A,Oils:Citric
34,PTFE,A - Excellent,Oils:Citric
35,PVC,B - Good,Oils:Citric
36,PVDF (Kynar®),A - Excellent,Oils:Citric
37,Silicone,N/A,Oils:Citric
38,stainless steel - 304,A - Excellent,Oils:Citric
39,stainless steel - 316,A - Excellent,Oils:Citric
40,Titanium,N/A,Oils:Citric
41,Tygon®,D - Poor,Oils:Citric
42,Viton®,A - Excellent,Oils:Citric
