,material,compatibility,chemical
0,,,Oils:Coconut
1,ABS plastic,N/A,Oils:Coconut
2,Acetal (Delrin®),N/A,Oils:Coconut
3,Aluminum,B - Good,Oils:Coconut
4,Brass,N/A,Oils:Coconut
5,Bronze,N/A,Oils:Coconut
6,Buna N (Nitrile),A - Excellent,Oils:Coconut
7,Carbon graphite,N/A,Oils:Coconut
8,Carbon Steel,N/A,Oils:Coconut
9,Carpenter 20,A - Excellent,Oils:Coconut
10,Cast iron,N/A,Oils:Coconut
11,Ceramic Al203,N/A,Oils:Coconut
12,Ceramic magnet,N/A,Oils:Coconut
13,ChemRaz (FFKM),N/A,Oils:Coconut
14,Copper,N/A,Oils:Coconut
15,CPVC,N/A,Oils:Coconut
16,EPDM,N/A,Oils:Coconut
17,Epoxy,A - Excellent,Oils:Coconut
18,Fluorocarbon (FKM),N/A,Oils:Coconut
19,Hastelloy-C®,A - Excellent,Oils:Coconut
20,Hypalon®,N/A,Oils:Coconut
21,Hytrel®,N/A,Oils:Coconut
22,Kalrez,N/A,Oils:Coconut
23,Kel-F®,N/A,Oils:Coconut
24,LDPE,N/A,Oils:Coconut
25,Natural rubber,N/A,Oils:Coconut
26,Neoprene,C - Fair,Oils:Coconut
27,NORYL®,N/A,Oils:Coconut
28,Nylon,N/A,Oils:Coconut
29,Polycarbonate,N/A,Oils:Coconut
30,Polyetherether Ketone (PEEK),N/A,Oils:Coconut
31,Polypropylene,N/A,Oils:Coconut
32,Polyurethane,N/A,Oils:Coconut
33,PPS (Ryton®),N/A,Oils:Coconut
34,PTFE,A - Excellent,Oils:Coconut
35,PVC,N/A,Oils:Coconut
36,PVDF (Kynar®),N/A,Oils:Coconut
37,Silicone,N/A,Oils:Coconut
38,stainless steel - 304,A - Excellent,Oils:Coconut
39,stainless steel - 316,A - Excellent,Oils:Coconut
40,Titanium,N/A,Oils:Coconut
41,Tygon®,N/A,Oils:Coconut
42,Viton®,A - Excellent,Oils:Coconut
