,material,compatibility,chemical
0,,,Oils:Cod Liver
1,ABS plastic,A - Excellent,Oils:Cod Liver
2,Acetal (Delrin®),B - Good,Oils:Cod Liver
3,Aluminum,A - Excellent,Oils:Cod Liver
4,Brass,N/A,Oils:Cod Liver
5,Bronze,N/A,Oils:Cod Liver
6,Buna N (Nitrile),A - Excellent,Oils:Cod Liver
7,Carbon graphite,N/A,Oils:Cod Liver
8,Carbon Steel,N/A,Oils:Cod Liver
9,Carpenter 20,A - Excellent,Oils:Cod Liver
10,Cast iron,N/A,Oils:Cod Liver
11,Ceramic Al203,N/A,Oils:Cod Liver
12,Ceramic magnet,N/A,Oils:Cod Liver
13,ChemRaz (FFKM),A - Excellent,Oils:Cod Liver
14,Copper,N/A,Oils:Cod Liver
15,CPVC,A1 - Excellent,Oils:Cod Liver
16,EPDM,A - Excellent,Oils:Cod Liver
17,Epoxy,A - Excellent,Oils:Cod Liver
18,Fluorocarbon (FKM),A - Excellent,Oils:Cod Liver
19,Hastelloy-C®,A - Excellent,Oils:Cod Liver
20,Hypalon®,B - Good,Oils:Cod Liver
21,Hytrel®,N/A,Oils:Cod Liver
22,Kalrez,A - Excellent,Oils:Cod Liver
23,Kel-F®,N/A,Oils:Cod Liver
24,LDPE,N/A,Oils:Cod Liver
25,Natural rubber,D - Poor,Oils:Cod Liver
26,Neoprene,B - Good,Oils:Cod Liver
27,NORYL®,N/A,Oils:Cod Liver
28,Nylon,N/A,Oils:Cod Liver
29,Polycarbonate,N/A,Oils:Cod Liver
30,Polyetherether Ketone (PEEK),N/A,Oils:Cod Liver
31,Polypropylene,A1 - Excellent,Oils:Cod Liver
32,Polyurethane,A - Excellent,Oils:Cod Liver
33,PPS (Ryton®),N/A,Oils:Cod Liver
34,PTFE,A - Excellent,Oils:Cod Liver
35,PVC,A1 - Excellent,Oils:Cod Liver
36,PVDF (Kynar®),A - Excellent,Oils:Cod Liver
37,Silicone,B - Good,Oils:Cod Liver
38,stainless steel - 304,A - Excellent,Oils:Cod Liver
39,stainless steel - 316,A - Excellent,Oils:Cod Liver
40,Titanium,N/A,Oils:Cod Liver
41,Tygon®,N/A,Oils:Cod Liver
42,Viton®,A - Excellent,Oils:Cod Liver
