,material,compatibility,chemical
0,,,Oils:Corn
1,ABS plastic,B - Good,Oils:Corn
2,Acetal (Delrin®),A - Excellent,Oils:Corn
3,Aluminum,A - Excellent,Oils:Corn
4,Brass,N/A,Oils:Corn
5,Bronze,N/A,Oils:Corn
6,Buna N (Nitrile),D - Poor,Oils:Corn
7,Carbon graphite,N/A,Oils:Corn
8,Carbon Steel,N/A,Oils:Corn
9,Carpenter 20,C - Fair,Oils:Corn
10,Cast iron,A - Excellent,Oils:Corn
11,Ceramic Al203,N/A,Oils:Corn
12,Ceramic magnet,N/A,Oils:Corn
13,ChemRaz (FFKM),A - Excellent,Oils:Corn
14,Copper,B - Good,Oils:Corn
15,CPVC,N/A,Oils:Corn
16,EPDM,C - Fair,Oils:Corn
17,Epoxy,A - Excellent,Oils:Corn
18,Fluorocarbon (FKM),A - Excellent,Oils:Corn
19,Hastelloy-C®,A - Excellent,Oils:Corn
20,Hypalon®,B - Good,Oils:Corn
21,Hytrel®,A - Excellent,Oils:Corn
22,Kalrez,A - Excellent,Oils:Corn
23,Kel-F®,N/A,Oils:Corn
24,LDPE,A - Excellent,Oils:Corn
25,Natural rubber,D - Poor,Oils:Corn
26,Neoprene,A - Excellent,Oils:Corn
27,NORYL®,A - Excellent,Oils:Corn
28,Nylon,A - Excellent,Oils:Corn
29,Polycarbonate,N/A,Oils:Corn
30,Polyetherether Ketone (PEEK),N/A,Oils:Corn
31,Polypropylene,A2 - Excellent,Oils:Corn
32,Polyurethane,A - Excellent,Oils:Corn
33,PPS (Ryton®),N/A,Oils:Corn
34,PTFE,A - Excellent,Oils:Corn
35,PVC,B - Good,Oils:Corn
36,PVDF (Kynar®),A - Excellent,Oils:Corn
37,Silicone,A - Excellent,Oils:Corn
38,stainless steel - 304,A - Excellent,Oils:Corn
39,stainless steel - 316,A - Excellent,Oils:Corn
40,Titanium,N/A,Oils:Corn
41,Tygon®,B - Good,Oils:Corn
42,Viton®,B - Good,Oils:Corn
