,material,compatibility,chemical
0,,,Oils:Cottonseed
1,ABS plastic,B - Good,Oils:Cottonseed
2,Acetal (Delrin®),A - Excellent,Oils:Cottonseed
3,Aluminum,A - Excellent,Oils:Cottonseed
4,Brass,N/A,Oils:Cottonseed
5,Bronze,N/A,Oils:Cottonseed
6,Buna N (Nitrile),D - Poor,Oils:Cottonseed
7,Carbon graphite,N/A,Oils:Cottonseed
8,Carbon Steel,N/A,Oils:Cottonseed
9,Carpenter 20,C - Fair,Oils:Cottonseed
10,Cast iron,A - Excellent,Oils:Cottonseed
11,Ceramic Al203,N/A,Oils:Cottonseed
12,Ceramic magnet,N/A,Oils:Cottonseed
13,ChemRaz (FFKM),A - Excellent,Oils:Cottonseed
14,Copper,B - Good,Oils:Cottonseed
15,CPVC,N/A,Oils:Cottonseed
16,EPDM,C - Fair,Oils:Cottonseed
17,Epoxy,A - Excellent,Oils:Cottonseed
18,Fluorocarbon (FKM),A - Excellent,Oils:Cottonseed
19,Hastelloy-C®,A - Excellent,Oils:Cottonseed
20,Hypalon®,B - Good,Oils:Cottonseed
21,Hytrel®,A - Excellent,Oils:Cottonseed
22,Kalrez,A - Excellent,Oils:Cottonseed
23,Kel-F®,N/A,Oils:Cottonseed
24,LDPE,A - Excellent,Oils:Cottonseed
25,Natural rubber,D - Poor,Oils:Cottonseed
26,Neoprene,A - Excellent,Oils:Cottonseed
27,NORYL®,A - Excellent,Oils:Cottonseed
28,Nylon,A - Excellent,Oils:Cottonseed
29,Polycarbonate,N/A,Oils:Cottonseed
30,Polyetherether Ketone (PEEK),N/A,Oils:Cottonseed
31,Polypropylene,A2 - Excellent,Oils:Cottonseed
32,Polyurethane,A - Excellent,Oils:Cottonseed
33,PPS (Ryton®),N/A,Oils:Cottonseed
34,PTFE,A - Excellent,Oils:Cottonseed
35,PVC,B - Good,Oils:Cottonseed
36,PVDF (Kynar®),A - Excellent,Oils:Cottonseed
37,Silicone,A - Excellent,Oils:Cottonseed
38,stainless steel - 304,A - Excellent,Oils:Cottonseed
39,stainless steel - 316,A - Excellent,Oils:Cottonseed
40,Titanium,N/A,Oils:Cottonseed
41,Tygon®,B - Good,Oils:Cottonseed
42,Viton®,B - Good,Oils:Cottonseed
