,material,compatibility,chemical
0,,,Oils:Creosote
1,ABS plastic,N/A,Oils:Creosote
2,Acetal (Delrin®),D - Poor,Oils:Creosote
3,Aluminum,B - Good,Oils:Creosote
4,Brass,N/A,Oils:Creosote
5,Bronze,A - Excellent,Oils:Creosote
6,Buna N (Nitrile),D - Poor,Oils:Creosote
7,Carbon graphite,A - Excellent,Oils:Creosote
8,Carbon Steel,B - Good,Oils:Creosote
9,Carpenter 20,C - Fair,Oils:Creosote
10,Cast iron,N/A,Oils:Creosote
11,Ceramic Al203,N/A,Oils:Creosote
12,Ceramic magnet,N/A,Oils:Creosote
13,ChemRaz (FFKM),A - Excellent,Oils:Creosote
14,Copper,N/A,Oils:Creosote
15,CPVC,N/A,Oils:Creosote
16,EPDM,D - Poor,Oils:Creosote
17,Epoxy,A - Excellent,Oils:Creosote
18,Fluorocarbon (FKM),A - Excellent,Oils:Creosote
19,Hastelloy-C®,B - Good,Oils:Creosote
20,Hypalon®,D - Poor,Oils:Creosote
21,Hytrel®,D - Poor,Oils:Creosote
22,Kalrez,A - Excellent,Oils:Creosote
23,Kel-F®,A - Excellent,Oils:Creosote
24,LDPE,C - Fair,Oils:Creosote
25,Natural rubber,D - Poor,Oils:Creosote
26,Neoprene,C - Fair,Oils:Creosote
27,NORYL®,D - Poor,Oils:Creosote
28,Nylon,D - Poor,Oils:Creosote
29,Polycarbonate,N/A,Oils:Creosote
30,Polyetherether Ketone (PEEK),A - Excellent,Oils:Creosote
31,Polypropylene,C - Fair,Oils:Creosote
32,Polyurethane,D - Poor,Oils:Creosote
33,PPS (Ryton®),N/A,Oils:Creosote
34,PTFE,A - Excellent,Oils:Creosote
35,PVC,C - Fair,Oils:Creosote
36,PVDF (Kynar®),N/A,Oils:Creosote
37,Silicone,D - Poor,Oils:Creosote
38,stainless steel - 304,B - Good,Oils:Creosote
39,stainless steel - 316,B - Good,Oils:Creosote
40,Titanium,A - Excellent,Oils:Creosote
41,Tygon®,N/A,Oils:Creosote
42,Viton®,A - Excellent,Oils:Creosote
