,material,compatibility,chemical
0,,,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
1,ABS plastic,D - Poor,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
2,Acetal (Delrin®),D - Poor,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
3,Aluminum,C1 - Fair,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
4,Brass,B - Good,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
5,Bronze,A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
6,Buna N (Nitrile),B - Good,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
7,Carbon graphite,A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
8,Carbon Steel,A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
9,Carpenter 20,A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
10,Cast iron,A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
11,Ceramic Al203,N/A,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
12,Ceramic magnet,N/A,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
13,ChemRaz (FFKM),A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
14,Copper,A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
15,CPVC,N/A,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
16,EPDM,D - Poor,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
17,Epoxy,A1 - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
18,Fluorocarbon (FKM),A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
19,Hastelloy-C®,A1 - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
20,Hypalon®,D - Poor,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
21,Hytrel®,A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
22,Kalrez,A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
23,Kel-F®,A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
24,LDPE,B - Good,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
25,Natural rubber,D - Poor,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
26,Neoprene,D - Poor,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
27,NORYL®,A1 - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
28,Nylon,A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
29,Polycarbonate,B - Good,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
30,Polyetherether Ketone (PEEK),A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
31,Polypropylene,B - Good,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
32,Polyurethane,D - Poor,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
33,PPS (Ryton®),A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
34,PTFE,A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
35,PVC,A2 - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
36,PVDF (Kynar®),B - Good,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
37,Silicone,C - Fair,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
38,stainless steel - 304,A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
39,stainless steel - 316,A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
40,Titanium,B - Good,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
41,Tygon®,A - Excellent,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
42,Viton®,B - Good,"Oils:Fuel (1, 2, 3, 5A, 5B, 6)"
