,material,compatibility,chemical
0,,,Oils:Ginger
1,ABS plastic,N/A,Oils:Ginger
2,Acetal (Delrin®),A - Excellent,Oils:Ginger
3,Aluminum,N/A,Oils:Ginger
4,Brass,N/A,Oils:Ginger
5,Bronze,D - Poor,Oils:Ginger
6,Buna N (Nitrile),A - Excellent,Oils:Ginger
7,Carbon graphite,N/A,Oils:Ginger
8,Carbon Steel,N/A,Oils:Ginger
9,Carpenter 20,D - Poor,Oils:Ginger
10,Cast iron,N/A,Oils:Ginger
11,Ceramic Al203,N/A,Oils:Ginger
12,Ceramic magnet,N/A,Oils:Ginger
13,ChemRaz (FFKM),N/A,Oils:Ginger
14,Copper,N/A,Oils:Ginger
15,CPVC,N/A,Oils:Ginger
16,EPDM,A - Excellent,Oils:Ginger
17,Epoxy,A - Excellent,Oils:Ginger
18,Fluorocarbon (FKM),N/A,Oils:Ginger
19,Hastelloy-C®,N/A,Oils:Ginger
20,Hypalon®,N/A,Oils:Ginger
21,Hytrel®,N/A,Oils:Ginger
22,Kalrez,N/A,Oils:Ginger
23,Kel-F®,N/A,Oils:Ginger
24,LDPE,N/A,Oils:Ginger
25,Natural rubber,N/A,Oils:Ginger
26,Neoprene,A - Excellent,Oils:Ginger
27,NORYL®,N/A,Oils:Ginger
28,Nylon,N/A,Oils:Ginger
29,Polycarbonate,N/A,Oils:Ginger
30,Polyetherether Ketone (PEEK),N/A,Oils:Ginger
31,Polypropylene,N/A,Oils:Ginger
32,Polyurethane,N/A,Oils:Ginger
33,PPS (Ryton®),N/A,Oils:Ginger
34,PTFE,A - Excellent,Oils:Ginger
35,PVC,N/A,Oils:Ginger
36,PVDF (Kynar®),A - Excellent,Oils:Ginger
37,Silicone,N/A,Oils:Ginger
38,stainless steel - 304,D - Poor,Oils:Ginger
39,stainless steel - 316,D - Poor,Oils:Ginger
40,Titanium,N/A,Oils:Ginger
41,Tygon®,N/A,Oils:Ginger
42,Viton®,A - Excellent,Oils:Ginger
