,material,compatibility,chemical
0,,,Oils:Hydraulic Oil (Petro)
1,ABS plastic,N/A,Oils:Hydraulic Oil (Petro)
2,Acetal (Delrin®),B - Good,Oils:Hydraulic Oil (Petro)
3,Aluminum,A - Excellent,Oils:Hydraulic Oil (Petro)
4,Brass,A - Excellent,Oils:Hydraulic Oil (Petro)
5,Bronze,A - Excellent,Oils:Hydraulic Oil (Petro)
6,Buna N (Nitrile),A - Excellent,Oils:Hydraulic Oil (Petro)
7,Carbon graphite,B - Good,Oils:Hydraulic Oil (Petro)
8,Carbon Steel,A - Excellent,Oils:Hydraulic Oil (Petro)
9,Carpenter 20,A - Excellent,Oils:Hydraulic Oil (Petro)
10,Cast iron,A - Excellent,Oils:Hydraulic Oil (Petro)
11,Ceramic Al203,N/A,Oils:Hydraulic Oil (Petro)
12,Ceramic magnet,N/A,Oils:Hydraulic Oil (Petro)
13,ChemRaz (FFKM),A - Excellent,Oils:Hydraulic Oil (Petro)
14,Copper,A - Excellent,Oils:Hydraulic Oil (Petro)
15,CPVC,N/A,Oils:Hydraulic Oil (Petro)
16,EPDM,D - Poor,Oils:Hydraulic Oil (Petro)
17,Epoxy,A - Excellent,Oils:Hydraulic Oil (Petro)
18,Fluorocarbon (FKM),A - Excellent,Oils:Hydraulic Oil (Petro)
19,Hastelloy-C®,A - Excellent,Oils:Hydraulic Oil (Petro)
20,Hypalon®,A - Excellent,Oils:Hydraulic Oil (Petro)
21,Hytrel®,N/A,Oils:Hydraulic Oil (Petro)
22,Kalrez,A - Excellent,Oils:Hydraulic Oil (Petro)
23,Kel-F®,N/A,Oils:Hydraulic Oil (Petro)
24,LDPE,C - Fair,Oils:Hydraulic Oil (Petro)
25,Natural rubber,D - Poor,Oils:Hydraulic Oil (Petro)
26,Neoprene,A - Excellent,Oils:Hydraulic Oil (Petro)
27,NORYL®,N/A,Oils:Hydraulic Oil (Petro)
28,Nylon,A1 - Excellent,Oils:Hydraulic Oil (Petro)
29,Polycarbonate,N/A,Oils:Hydraulic Oil (Petro)
30,Polyetherether Ketone (PEEK),A - Excellent,Oils:Hydraulic Oil (Petro)
31,Polypropylene,D - Poor,Oils:Hydraulic Oil (Petro)
32,Polyurethane,N/A,Oils:Hydraulic Oil (Petro)
33,PPS (Ryton®),D - Poor,Oils:Hydraulic Oil (Petro)
34,PTFE,A - Excellent,Oils:Hydraulic Oil (Petro)
35,PVC,A - Excellent,Oils:Hydraulic Oil (Petro)
36,PVDF (Kynar®),A - Excellent,Oils:Hydraulic Oil (Petro)
37,Silicone,B - Good,Oils:Hydraulic Oil (Petro)
38,stainless steel - 304,A - Excellent,Oils:Hydraulic Oil (Petro)
39,stainless steel - 316,A - Excellent,Oils:Hydraulic Oil (Petro)
40,Titanium,N/A,Oils:Hydraulic Oil (Petro)
41,Tygon®,A - Excellent,Oils:Hydraulic Oil (Petro)
42,Viton®,A - Excellent,Oils:Hydraulic Oil (Petro)
