,material,compatibility,chemical
0,,,Oils:Lemon
1,ABS plastic,C - Fair,Oils:Lemon
2,Acetal (Delrin®),D - Poor,Oils:Lemon
3,Aluminum,A - Excellent,Oils:Lemon
4,Brass,N/A,Oils:Lemon
5,Bronze,A - Excellent,Oils:Lemon
6,Buna N (Nitrile),N/A,Oils:Lemon
7,Carbon graphite,N/A,Oils:Lemon
8,Carbon Steel,N/A,Oils:Lemon
9,Carpenter 20,A - Excellent,Oils:Lemon
10,Cast iron,N/A,Oils:Lemon
11,Ceramic Al203,N/A,Oils:Lemon
12,Ceramic magnet,N/A,Oils:Lemon
13,ChemRaz (FFKM),N/A,Oils:Lemon
14,Copper,N/A,Oils:Lemon
15,CPVC,N/A,Oils:Lemon
16,EPDM,D - Poor,Oils:Lemon
17,Epoxy,A - Excellent,Oils:Lemon
18,Fluorocarbon (FKM),A - Excellent,Oils:Lemon
19,Hastelloy-C®,N/A,Oils:Lemon
20,Hypalon®,N/A,Oils:Lemon
21,Hytrel®,N/A,Oils:Lemon
22,Kalrez,N/A,Oils:Lemon
23,Kel-F®,N/A,Oils:Lemon
24,LDPE,N/A,Oils:Lemon
25,Natural rubber,N/A,Oils:Lemon
26,Neoprene,D - Poor,Oils:Lemon
27,NORYL®,N/A,Oils:Lemon
28,Nylon,N/A,Oils:Lemon
29,Polycarbonate,N/A,Oils:Lemon
30,Polyetherether Ketone (PEEK),N/A,Oils:Lemon
31,Polypropylene,N/A,Oils:Lemon
32,Polyurethane,N/A,Oils:Lemon
33,PPS (Ryton®),N/A,Oils:Lemon
34,PTFE,A - Excellent,Oils:Lemon
35,PVC,N/A,Oils:Lemon
36,PVDF (Kynar®),A - Excellent,Oils:Lemon
37,Silicone,N/A,Oils:Lemon
38,stainless steel - 304,A - Excellent,Oils:Lemon
39,stainless steel - 316,A - Excellent,Oils:Lemon
40,Titanium,N/A,Oils:Lemon
41,Tygon®,N/A,Oils:Lemon
42,Viton®,A - Excellent,Oils:Lemon
