,material,compatibility,chemical
0,,,Oils:Linseed
1,ABS plastic,N/A,Oils:Linseed
2,Acetal (Delrin®),A - Excellent,Oils:Linseed
3,Aluminum,B - Good,Oils:Linseed
4,Brass,B - Good,Oils:Linseed
5,Bronze,A - Excellent,Oils:Linseed
6,Buna N (Nitrile),A - Excellent,Oils:Linseed
7,Carbon graphite,A - Excellent,Oils:Linseed
8,Carbon Steel,A - Excellent,Oils:Linseed
9,Carpenter 20,A - Excellent,Oils:Linseed
10,Cast iron,N/A,Oils:Linseed
11,Ceramic Al203,A - Excellent,Oils:Linseed
12,Ceramic magnet,A - Excellent,Oils:Linseed
13,ChemRaz (FFKM),A - Excellent,Oils:Linseed
14,Copper,B - Good,Oils:Linseed
15,CPVC,C - Fair,Oils:Linseed
16,EPDM,D - Poor,Oils:Linseed
17,Epoxy,A - Excellent,Oils:Linseed
18,Fluorocarbon (FKM),A - Excellent,Oils:Linseed
19,Hastelloy-C®,B - Good,Oils:Linseed
20,Hypalon®,C - Fair,Oils:Linseed
21,Hytrel®,B1 - Good,Oils:Linseed
22,Kalrez,A - Excellent,Oils:Linseed
23,Kel-F®,N/A,Oils:Linseed
24,LDPE,A - Excellent,Oils:Linseed
25,Natural rubber,D - Poor,Oils:Linseed
26,Neoprene,D - Poor,Oils:Linseed
27,NORYL®,A1 - Excellent,Oils:Linseed
28,Nylon,A1 - Excellent,Oils:Linseed
29,Polycarbonate,N/A,Oils:Linseed
30,Polyetherether Ketone (PEEK),A - Excellent,Oils:Linseed
31,Polypropylene,A - Excellent,Oils:Linseed
32,Polyurethane,B - Good,Oils:Linseed
33,PPS (Ryton®),B - Good,Oils:Linseed
34,PTFE,A - Excellent,Oils:Linseed
35,PVC,A2 - Excellent,Oils:Linseed
36,PVDF (Kynar®),A - Excellent,Oils:Linseed
37,Silicone,A - Excellent,Oils:Linseed
38,stainless steel - 304,A - Excellent,Oils:Linseed
39,stainless steel - 316,A - Excellent,Oils:Linseed
40,Titanium,A - Excellent,Oils:Linseed
41,Tygon®,A - Excellent,Oils:Linseed
42,Viton®,A - Excellent,Oils:Linseed
