,material,compatibility,chemical
0,,,Oils:Mineral
1,ABS plastic,A - Excellent,Oils:Mineral
2,Acetal (Delrin®),A - Excellent,Oils:Mineral
3,Aluminum,A - Excellent,Oils:Mineral
4,Brass,A - Excellent,Oils:Mineral
5,Bronze,A - Excellent,Oils:Mineral
6,Buna N (Nitrile),A - Excellent,Oils:Mineral
7,Carbon graphite,A - Excellent,Oils:Mineral
8,Carbon Steel,B - Good,Oils:Mineral
9,Carpenter 20,A - Excellent,Oils:Mineral
10,Cast iron,N/A,Oils:Mineral
11,Ceramic Al203,A - Excellent,Oils:Mineral
12,Ceramic magnet,A - Excellent,Oils:Mineral
13,ChemRaz (FFKM),A - Excellent,Oils:Mineral
14,Copper,B - Good,Oils:Mineral
15,CPVC,A - Excellent,Oils:Mineral
16,EPDM,D - Poor,Oils:Mineral
17,Epoxy,A - Excellent,Oils:Mineral
18,Fluorocarbon (FKM),A - Excellent,Oils:Mineral
19,Hastelloy-C®,A - Excellent,Oils:Mineral
20,Hypalon®,B - Good,Oils:Mineral
21,Hytrel®,A - Excellent,Oils:Mineral
22,Kalrez,A - Excellent,Oils:Mineral
23,Kel-F®,A - Excellent,Oils:Mineral
24,LDPE,B1 - Good,Oils:Mineral
25,Natural rubber,D - Poor,Oils:Mineral
26,Neoprene,B - Good,Oils:Mineral
27,NORYL®,A1 - Excellent,Oils:Mineral
28,Nylon,A - Excellent,Oils:Mineral
29,Polycarbonate,B - Good,Oils:Mineral
30,Polyetherether Ketone (PEEK),A - Excellent,Oils:Mineral
31,Polypropylene,A - Excellent,Oils:Mineral
32,Polyurethane,A - Excellent,Oils:Mineral
33,PPS (Ryton®),A - Excellent,Oils:Mineral
34,PTFE,A - Excellent,Oils:Mineral
35,PVC,B - Good,Oils:Mineral
36,PVDF (Kynar®),A - Excellent,Oils:Mineral
37,Silicone,C - Fair,Oils:Mineral
38,stainless steel - 304,A - Excellent,Oils:Mineral
39,stainless steel - 316,A - Excellent,Oils:Mineral
40,Titanium,A - Excellent,Oils:Mineral
41,Tygon®,B - Good,Oils:Mineral
42,Viton®,A - Excellent,Oils:Mineral
