,material,compatibility,chemical
0,,,Oils:Olive
1,ABS plastic,A - Excellent,Oils:Olive
2,Acetal (Delrin®),A - Excellent,Oils:Olive
3,Aluminum,A - Excellent,Oils:Olive
4,Brass,N/A,Oils:Olive
5,Bronze,A - Excellent,Oils:Olive
6,Buna N (Nitrile),D - Poor,Oils:Olive
7,Carbon graphite,A - Excellent,Oils:Olive
8,Carbon Steel,N/A,Oils:Olive
9,Carpenter 20,A - Excellent,Oils:Olive
10,Cast iron,N/A,Oils:Olive
11,Ceramic Al203,A - Excellent,Oils:Olive
12,Ceramic magnet,N/A,Oils:Olive
13,ChemRaz (FFKM),A - Excellent,Oils:Olive
14,Copper,N/A,Oils:Olive
15,CPVC,C - Fair,Oils:Olive
16,EPDM,D - Poor,Oils:Olive
17,Epoxy,A - Excellent,Oils:Olive
18,Fluorocarbon (FKM),A - Excellent,Oils:Olive
19,Hastelloy-C®,A - Excellent,Oils:Olive
20,Hypalon®,B - Good,Oils:Olive
21,Hytrel®,N/A,Oils:Olive
22,Kalrez,A - Excellent,Oils:Olive
23,Kel-F®,N/A,Oils:Olive
24,LDPE,A1 - Excellent,Oils:Olive
25,Natural rubber,D - Poor,Oils:Olive
26,Neoprene,B - Good,Oils:Olive
27,NORYL®,A2 - Excellent,Oils:Olive
28,Nylon,A1 - Excellent,Oils:Olive
29,Polycarbonate,A2 - Excellent,Oils:Olive
30,Polyetherether Ketone (PEEK),N/A,Oils:Olive
31,Polypropylene,A - Excellent,Oils:Olive
32,Polyurethane,A - Excellent,Oils:Olive
33,PPS (Ryton®),N/A,Oils:Olive
34,PTFE,A1 - Excellent,Oils:Olive
35,PVC,C - Fair,Oils:Olive
36,PVDF (Kynar®),N/A,Oils:Olive
37,Silicone,D - Poor,Oils:Olive
38,stainless steel - 304,A - Excellent,Oils:Olive
39,stainless steel - 316,A - Excellent,Oils:Olive
40,Titanium,A - Excellent,Oils:Olive
41,Tygon®,B - Good,Oils:Olive
42,Viton®,A - Excellent,Oils:Olive
