,material,compatibility,chemical
0,,,Oils:Orange
1,ABS plastic,N/A,Oils:Orange
2,Acetal (Delrin®),D - Poor,Oils:Orange
3,Aluminum,A - Excellent,Oils:Orange
4,Brass,N/A,Oils:Orange
5,Bronze,A - Excellent,Oils:Orange
6,Buna N (Nitrile),A - Excellent,Oils:Orange
7,Carbon graphite,N/A,Oils:Orange
8,Carbon Steel,N/A,Oils:Orange
9,Carpenter 20,A - Excellent,Oils:Orange
10,Cast iron,N/A,Oils:Orange
11,Ceramic Al203,N/A,Oils:Orange
12,Ceramic magnet,N/A,Oils:Orange
13,ChemRaz (FFKM),N/A,Oils:Orange
14,Copper,N/A,Oils:Orange
15,CPVC,N/A,Oils:Orange
16,EPDM,N/A,Oils:Orange
17,Epoxy,A - Excellent,Oils:Orange
18,Fluorocarbon (FKM),A - Excellent,Oils:Orange
19,Hastelloy-C®,A - Excellent,Oils:Orange
20,Hypalon®,N/A,Oils:Orange
21,Hytrel®,N/A,Oils:Orange
22,Kalrez,N/A,Oils:Orange
23,Kel-F®,N/A,Oils:Orange
24,LDPE,C1 - Fair,Oils:Orange
25,Natural rubber,N/A,Oils:Orange
26,Neoprene,C - Fair,Oils:Orange
27,NORYL®,N/A,Oils:Orange
28,Nylon,N/A,Oils:Orange
29,Polycarbonate,C1 - Fair,Oils:Orange
30,Polyetherether Ketone (PEEK),N/A,Oils:Orange
31,Polypropylene,A - Excellent,Oils:Orange
32,Polyurethane,N/A,Oils:Orange
33,PPS (Ryton®),N/A,Oils:Orange
34,PTFE,N/A,Oils:Orange
35,PVC,C1 - Fair,Oils:Orange
36,PVDF (Kynar®),A - Excellent,Oils:Orange
37,Silicone,D - Poor,Oils:Orange
38,stainless steel - 304,A - Excellent,Oils:Orange
39,stainless steel - 316,A - Excellent,Oils:Orange
40,Titanium,A - Excellent,Oils:Orange
41,Tygon®,N/A,Oils:Orange
42,Viton®,A - Excellent,Oils:Orange
